,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
2405,AA,346_2491450021_Goldman Sachs,1860084942,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-23-2021. Integrata yet to book.,Goldman Sachs 
2406,AA,305_2491400070_Goldman Sachs,1859770676,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2407,AA,248_2491400070_Goldman Sachs,1859770613,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2408,AA,322_2491450185_Goldman Sachs,1860151891,OB,OB,No-pair,proceeds trade settlement,Goldman Sachs  booked the proceeds trade settlement transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2409,AA,265_2491400070_Goldman Sachs,1859770133,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2410,AA,315_2491400070_Goldman Sachs,1859770167,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2411,AA,148_2491430080_Goldman Sachs,1859922213,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-14-2021. Integrata yet to book.,Goldman Sachs 
2412,AA,269_2491400070_Goldman Sachs,1859770201,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2413,AA,186_2491450146_Goldman Sachs,1860150359,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-26-2021. Integrata yet to book.,Goldman Sachs 
2414,AA,258_2491400077_Goldman Sachs,1859771768,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2415,AA,270_2491400077_Goldman Sachs,1859772013,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2416,AA,311_2491400077_Goldman Sachs,1859771841,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2417,AA,109_2491450107_Goldman Sachs,1860133879,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-23-2021. Integrata yet to book.,Goldman Sachs 
2418,AA,360_2491400077_Goldman Sachs,1859771774,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2419,AA,277_2491400077_Goldman Sachs,1859772114,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2420,AA,109_2491450021_Goldman Sachs,1860084803,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-23-2021. Integrata yet to book.,Goldman Sachs 
2421,AA,420_2491400070_Goldman Sachs,1859770706,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2422,AA,284_2491400077_Goldman Sachs,1859772181,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2423,AA,176_2491450146_Goldman Sachs,1860150352,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-26-2021. Integrata yet to book.,Goldman Sachs 
2424,AA,405_2491400077_Goldman Sachs,1859772069,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2425,AA,417_2491400070_Goldman Sachs,1859770646,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2426,AA,360_2491400070_Goldman Sachs,1859770628,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2427,AA,191_2491450185_Goldman Sachs,1860151808,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2428,AA,353_2491450185_Goldman Sachs,1860151913,OB,OB,No-pair,proceeds trade settlement,Goldman Sachs  booked the proceeds trade settlement transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2429,AA,241_2491450146_Goldman Sachs,1860150308,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-26-2021. Integrata yet to book.,Goldman Sachs 
2430,AA,177_2491450011_Goldman Sachs,1860083459,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-19-2021. Integrata yet to book.,Goldman Sachs 
2431,AA,394_2491400070_Goldman Sachs,1859770757,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2432,AA,220_2491430302_Goldman Sachs,1860079884,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-21-2021. Integrata yet to book.,Goldman Sachs 
2433,AA,300_2491400077_Goldman Sachs,1859772282,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2434,AA,407_2491400070_Goldman Sachs,1859770477,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2435,AA,177_2491430283_Goldman Sachs,1860075506,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-16-2021. Integrata yet to book.,Goldman Sachs 
2436,AA,303_2491400077_Goldman Sachs,1859772235,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2437,AA,76_2491450224_Goldman Sachs,1860175377,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-29-2021. Integrata yet to book.,Goldman Sachs 
2438,AA,88_2491450185_Goldman Sachs,1860151599,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2439,AA,320_2491400077_Goldman Sachs,1859771968,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2440,AA,87_2491430283_Goldman Sachs,1860075421,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-16-2021. Integrata yet to book.,Goldman Sachs 
2441,AA,402_2491400077_Goldman Sachs,1859772296,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
