,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns
0,,169_249831032_UBS,1246012736,OB,UCB,Close,Close,,UBS,1246012736
1,,149_2491274656_UBS,1834529764,OB,UCB,Close,Close,,UBS,1834529764
2,,200_2491030952_UBS,1510371606,OB,UCB,Close,Close,,UBS,1510371606
3,,167_249831032_UBS,1246012730,OB,UCB,Close,Close,,UBS,1246012730
4,,198_2491030952_UBS,1510371605,OB,UCB,Close,Close,,UBS,1510371605
5,,183_2491276790_UBS,1837024350,OB,UCB,Close,Close,,UBS,1837024350
6,,75_249987817_UBS,1453049486,OB,UCB,Close,Close,,UBS,1453049486
7,,187_2491320026_UBS,1892570163,OB,UCB,Close,Close,,UBS,1892570163
8,,130_249987817_UBS,1453049490,OB,UCB,Close,Close,,UBS,1453049490
9,,220_2491402505_UBS,2006721615,OB,UCB,Close,Close,,UBS,2006721615
10,,109_2491156763_UBS,1677285635,OB,UCB,Close,Close,,UBS,1677285635
11,,163_2491156763_UBS,1677285640,OB,UCB,Close,Close,,UBS,1677285640
12,,166_2491073282_UBS,1566187565,OB,UCB,Close,Close,,UBS,1566187565
13,,110_2491344476_UBS,1927388766,OB,UCB,Close,Close,,UBS,1927388766
14,,171_2491357765_UBS,1947006083,OB,UCB,Close,Close,,UBS,1947006083
15,,67_2491340659_UBS,1922304582,OB,UCB,Close,Close,,UBS,1922304582
16,,188_2491238233_UBS,1787477082,OB,UCB,Close,Close,,UBS,1787477082
17,,176_2491114307_UBS,1620407392,OB,UCB,Close,Close,,UBS,1620407392
18,,185_2491276790_UBS,1837024351,OB,UCB,Close,Close,,UBS,1837024351
19,,240_249947534_UBS,1401786069,OB,UCB,Close,Close,,UBS,1401786069
20,,161_2491443683_UBS,2058655905,OB,UCB,Close,Close,,UBS,2058655905
21,,159_2491443683_UBS,2058655904,OB,UCB,Close,Close,,UBS,2058655904
22,,222_2491402505_UBS,2006721619,OB,UCB,Close,Close,,UBS,2006721619
23,,100_249751014_UBS,1139539514,OB,UCB,Close,Close,,UBS,1139539514
24,,181_2491276790_UBS,1837024349,OB,UCB,Close,Close,,UBS,1837024349
25,,161_2491156763_UBS,1677285639,OB,UCB,Close,Close,,UBS,1677285639
26,,242_2491196372_UBS,1729611507,OB,UCB,Close,Close,,UBS,1729611507
27,,164_2491073282_UBS,1566187563,OB,UCB,Close,Close,,UBS,1566187563
28,,185_2491320026_UBS,1892570162,OB,UCB,Close,Close,,UBS,1892570162
29,,134_249987817_UBS,1453049489,OB,UCB,Close,Close,,UBS,1453049489
30,,159_2491156763_UBS,1677285638,OB,UCB,Close,Close,,UBS,1677285638
31,,99_249751014_UBS,1139539527,OB,UCB,Close,Close,,UBS,1139539527
32,,241_2491196372_UBS,1729611589,OB,UCB,Close,Close,,UBS,1729611589
33,,79_2491290069_UBS,1854343913,OB,UCB,Close,Close,,UBS,1854343913
34,,117_2491403450_UBS,2008157589,OB,UCB,Close,Close,,UBS,2008157589
35,,240_2491196372_UBS,1729611502,OB,UCB,Close,Close,,UBS,1729611502
36,,98_249751014_UBS,1139539515,OB,UCB,Close,Close,,UBS,1139539515
37,,137_249788078_UBS,1191199782,OB,UCB,Close,Close,,UBS,1191199782
38,,167_2491357765_UBS,1947006081,OB,UCB,Close,Close,,UBS,1947006081
39,,175_2491114307_UBS,1620407465,OB,UCB,Close,Close,,UBS,1620407465
40,,201_2491030952_UBS,1510371666,OB,UCB,Close,Close,,UBS,1510371666
41,,168_2491357765_UBS,1947006133,OB,UCB,Close,Close,,UBS,1947006133
42,,170_2491357765_UBS,1947006137,OB,UCB,Close,Close,,UBS,1947006137
43,,39_249788078_UBS,1191199970,OB,UCB,Close,Close,,UBS,1191199970
44,,136_249788078_UBS,1191200002,OB,UCB,Close,Close,,UBS,1191200002
45,,20_2491314455_UBS,1885228098,OB,UCB,Close,Close,,UBS,1885228098
46,,55_2491357765_UBS,1947006104,OB,UCB,Close,Close,,UBS,1947006104
47,,167_2491073282_UBS,1566187612,OB,UCB,Close,Close,,UBS,1566187612
48,,243_2491196372_UBS,1729611593,OB,UCB,Close,Close,,UBS,1729611593
49,,38_249788078_UBS,1191199776,OB,UCB,Close,Close,,UBS,1191199776
50,,166_2491357765_UBS,1947006080,OB,UCB,Close,Close,,UBS,1947006080
51,,132_249987817_UBS,1453049488,OB,UCB,Close,Close,,UBS,1453049488
52,,238_249947534_UBS,1401786064,OB,UCB,Close,Close,,UBS,1401786064
53,,169_2491357765_UBS,1947006082,OB,UCB,Close,Close,,UBS,1947006082
54,,186_2491238233_UBS,1787477081,OB,UCB,Close,Close,,UBS,1787477081
55,,174_2491114307_UBS,1620407396,OB,UCB,Close,Close,,UBS,1620407396
56,,111_2491156763_UBS,1677285735,OB,UCB,Close,Close,,UBS,1677285735
57,,223_2491402505_UBS,2006721711,OB,UCB,Close,Close,,UBS,2006721711
58,,118_2491403450_UBS,2008157644,OB,UCB,Close,Close,,UBS,2008157644
59,,170_249831032_UBS,1246012789,OB,UCB,Close,Close,,UBS,1246012789
60,,101_249751014_UBS,1139539517,OB,UCB,Close,Close,,UBS,1139539517
61,,241_249947534_UBS,1401786178,OB,UCB,Close,Close,,UBS,1401786178
62,,239_249947534_UBS,1401786176,OB,UCB,Close,Close,,UBS,1401786176
63,,158_2491156763_UBS,1677285789,OB,UCB,Close,Close,,UBS,1677285789
64,,177_2491114307_UBS,1620407469,OB,UCB,Close,Close,,UBS,1620407469
65,,164_2491156763_UBS,1677285756,OB,UCB,Close,Close,,UBS,1677285756
66,,131_249987817_UBS,1453049548,OB,UCB,Close,Close,,UBS,1453049548
67,,221_2491402505_UBS,2006721707,OB,UCB,Close,Close,,UBS,2006721707
68,,133_249987817_UBS,1453049555,OB,UCB,Close,Close,,UBS,1453049555
69,,36_2491312684_UBS,1883007179,OB,UCB,Close,Close,,UBS,1883007179
70,,137_249987817_UBS,1453049528,OB,UCB,Close,Close,,UBS,1453049528
71,,17_2491376213_UBS,1973816317,OB,UCB,Close,Close,,UBS,1973816317
72,,168_249831032_UBS,1246012782,OB,UCB,Close,Close,,UBS,1246012782
73,,162_2491156763_UBS,1677285754,OB,UCB,Close,Close,,UBS,1677285754
74,,138_249788078_UBS,1191199997,OB,UCB,Close,Close,,UBS,1191199997
75,,186_2491320026_UBS,1892570227,OB,UCB,Close,Close,,UBS,1892570227
76,,108_2491156763_UBS,1677285721,OB,UCB,Close,Close,,UBS,1677285721
77,,29_2491314455_UBS,1885228091,OB,UCB,Close,Close,,UBS,1885228091
78,,187_2491238233_UBS,1787477144,OB,UCB,Close,Close,,UBS,1787477144
79,,37_249788078_UBS,1191199958,OB,UCB,Close,Close,,UBS,1191199958
80,,184_2491276790_UBS,1837024438,OB,UCB,Close,Close,,UBS,1837024438
81,,160_2491156763_UBS,1677285790,OB,UCB,Close,Close,,UBS,1677285790
82,,77_249987817_UBS,1453049561,OB,UCB,Close,Close,,UBS,1453049561
83,,129_249987817_UBS,1453049524,OB,UCB,Close,Close,,UBS,1453049524
84,,189_2491238233_UBS,1787477151,OB,UCB,Close,Close,,UBS,1787477151
85,,35_2491355803_UBS,1944548180,OB,UCB,Close,Close,,UBS,1944548180
86,,165_2491073282_UBS,1566187606,OB,UCB,Close,Close,,UBS,1566187606
87,,230_2491353925_UBS,1941625788,OB,UCB,Close,Close,,UBS,1941625788
88,,231_2491353925_UBS,1941625790,OB,UCB,Close,Close,,UBS,1941625790
89,,33_2491331890_UBS,1908183199,OB,UCB,Close,Close,,UBS,1908183199
90,,22_2491204137_UBS,1739264686,OB,UCB,Close,Close,,UBS,1739264686
91,,21_2491376213_UBS,1973816194,OB,UCB,Close,Close,,UBS,1973816194
92,,199_2491030952_UBS,1510371661,OB,UCB,Close,Close,,UBS,1510371661
93,,186_2491276790_UBS,1837024442,OB,UCB,Close,Close,,UBS,1837024442
94,,31_2491204137_UBS,1739264940,OB,UCB,Close,Close,,UBS,1739264940
95,,15_2491204137_UBS,1739264931,OB,UCB,Close,Close,,UBS,1739264931
96,,172_2491357765_UBS,1947006141,OB,UCB,Close,Close,,UBS,1947006141
97,,74_249987817_UBS,1453049542,OB,UCB,Close,Close,,UBS,1453049542
98,,226_2491353925_UBS,1941625785,OB,UCB,Close,Close,,UBS,1941625785
99,,23_2491331890_UBS,1908183192,OB,UCB,Close,Close,,UBS,1908183192
100,,20_2491376213_UBS,1973816324,OB,UCB,Close,Close,,UBS,1973816324
101,,227_2491353925_UBS,1941625781,OB,UCB,Close,Close,,UBS,1941625781
102,,35_2491331890_UBS,1908182681,OB,UCB,Close,Close,,UBS,1908182681
103,,160_2491443683_UBS,2058656043,OB,UCB,Close,Close,,UBS,2058656043
104,,162_2491443683_UBS,2058656044,OB,UCB,Close,Close,,UBS,2058656044
105,,188_2491320026_UBS,1892570233,OB,UCB,Close,Close,,UBS,1892570233
106,,182_2491276790_UBS,1837024433,OB,UCB,Close,Close,,UBS,1837024433
107,,74_2491048453_UBS,1533237929,OB,UCB,Close,Close,,UBS,1533237929
108,,120_2491357765_UBS,1947006075,OB,UCB,Close,Close,,UBS,1947006075
109,,136_2491046254_UBS,1530638626,OB,UCB,Close,Close,,UBS,1530638626
110,,127_2491276790_UBS,1837024346,OB,UCB,Close,Close,,UBS,1837024346
111,,73_2491050269_UBS,1535644348,OB,UCB,Close,Close,,UBS,1535644348
112,,122_2491344476_UBS,1927388765,OB,UCB,Close,Close,,UBS,1927388765
113,,90_2491056079_UBS,1543336570,OB,UCB,Close,Close,,UBS,1543336570
114,,53_249810055_UBS,1219733662,OB,UCB,Close,Close,,UBS,1219733662
115,,54_249810055_UBS,1219733663,OB,UCB,Close,Close,,UBS,1219733663
116,,100_2491340659_UBS,1922304583,OB,UCB,Close,Close,,UBS,1922304583
117,,52_249788078_UBS,1191199780,OB,UCB,Close,Close,,UBS,1191199780
118,,92_2491447636_UBS,2063518652,OB,UCB,Close,Close,,UBS,2063518652
119,,42_2491065622_UBS,1556304789,OB,UCB,Close,Close,,UBS,1556304789
120,,131_2491276790_UBS,1837024416,OB,UCB,Close,Close,,UBS,1837024416
121,,67_2491417580_UBS,2026964485,OB,UCB,Close,Close,,UBS,2026964485
122,,176_2491417580_UBS,2026964438,OB,UCB,Close,Close,,UBS,2026964438
