,index,Ticker1
0,esu1,6
1,tyu1,5
2,xpu1,5
3,fvu1,4
4,bcu1,4
5,usu1,4
6,ihq1,4
7,nqu1,4
8,qzq1,4
9,ymu1,4
10,jbu1,3
11,dmu1,3
12,ptu1,3
13,tuu1,3
14,qcq1,3
15,clu1,3
16,z u1,3
17,cfq1,3
18,w u1,3
19,boz1,3
20,rxu1,3
21,oatu1,3
22,aiu1,3
23,rtyu1,3
24,tpu1,3
25,cnu1,3
26,eoq1,3
27,gxu1,3
28,xbu1,3
29,twtq1,3
30,kmu1,3
31,smu1,3
32,stu1,3
33,ibq1,3
34,hcq1,3
35,cov1,2
36,smz1,2
37,oeu1,2
38,plv1,2
39,uxq1,2
40,kaau1,2
41,xmu1,2
42,s x1,2
43,vgu1,2
44,adu1,2
45,ngu21,2
46,nvu1,2
47,c z1,2
48,ngu1 21,2
49,g u1,2
50,xuq1,2
51,iku1,2
52,wnu1,2
53,hou1,2
54,nku1,2
55,hiq1,2
56,niu1,2
57,fvsq1,1
58,ikq1,1
59,fvsv1,1
60,uxv1,1
61,jyu1,1
62,lcv1,1
63,comex_seat,1
64,lhv1,1
65,hgu1,1
66,uxu1,1
67,gcz1,1
68,ltyu1,1
69,cdu1,1
70,edu1,1
71,iwu1,1
72,kov1,1
73,cme us,1
74,uxx1,1
75,peu1,1
76,mesu1,1
77,hiu1,1
78,sfu1,1
79,keu1,1
80,nymex_seat,1
81,fvsu1,1
82,iru2,1
83,krsu1,1
84,fau1,1
85,nxu1,1
86,clv1,1
87,zbm2,1
88,bzav1,1
89,pau1,1
90,qsq1,1
91,nou1,1
92,kuq1,1
93,ecu1,1
94,sxou1,1
95,xqu1,1
96,bpu1,1
97,gcv1,1
