,Custodian Account,Currency,Ticker1,Cash Standing,len_cash
80,NEFU_FIFTY_SEVEN_00799769,USD,cou1,-91.99999999999983,10
81,NEFU_FIFTY_SEVEN_00799769,USD,esu1,-11236.919999999916,130
82,NEFU_FIFTY_SEVEN_00799769,USD,ihq1,1823.3800000000008,14
83,NEFU_FIFTY_SEVEN_00799769,USD,jyu1,38.620000000000005,3
84,NEFU_FIFTY_SEVEN_00799769,USD,jyu1 curncy,-1.12,1
85,NEFU_FIFTY_SEVEN_00799769,USD,ngu1 21,-1477.36,2
86,NEFU_FIFTY_SEVEN_00799769,USD,ngu21,1477.36,2
87,NEFU_FIFTY_SEVEN_00799769,USD,tyu1,-224.94,2
88,NEFU_FIFTY_SEVEN_00799769,USD,uxq1,-2399.94,2
89,NEFU_FIFTY_SEVEN_00799801,USD,esu1,-427.17999999998733,57
90,NEFU_FIFTY_SEVEN_00799802,AUD,xpu1,-21320.13,3
91,NEFU_FIFTY_SEVEN_00799802,EUR,cfq1,-3405.5699999999997,9
92,NEFU_FIFTY_SEVEN_00799802,EUR,fvsq1,-111.77000000000001,2
93,NEFU_FIFTY_SEVEN_00799802,EUR,fvsu1,-94.1,6
94,NEFU_FIFTY_SEVEN_00799802,EUR,gxu1,890.3899999999999,25
95,NEFU_FIFTY_SEVEN_00799802,EUR,ibq1,-5894.98,10
96,NEFU_FIFTY_SEVEN_00799802,EUR,stu1,5.290000000000001,4
97,NEFU_FIFTY_SEVEN_00799802,EUR,vgu1,-40207.80999999993,131
98,NEFU_FIFTY_SEVEN_00799802,GBP,z u1,-6979.110000000001,8
99,NEFU_FIFTY_SEVEN_00799802,JPY,jbu1,-9.45,1
100,NEFU_FIFTY_SEVEN_00799802,JPY,tpu1,1432.6899999999998,2
101,NEFU_FIFTY_SEVEN_00799802,USD,tyu1,78.11999999999999,2
102,NEFU_FIFTY_SEVEN_00799802,USD,uxn1,12.859999999999673,9
103,NEFU_FIFTY_SEVEN_00799802,USD,uxq1,-687.6000000000001,11
104,NEFU_FIFTY_SEVEN_00799802,USD,uxu1,300.08,2
105,NEFU_FIFTY_SEVEN_00799802,ZAR,aiu1,-3060.6700000000005,7
106,NEFU_FIFTY_SEVEN_00799803,AUD,xmu1,-34.78000000000008,20
107,NEFU_FIFTY_SEVEN_00799803,AUD,xpu1,-130961.85,132
108,NEFU_FIFTY_SEVEN_00799803,AUD,ymu1,1286.0099999999995,53
109,NEFU_FIFTY_SEVEN_00799803,HKD,hcq1,-7089.6900000000005,7
110,NEFU_FIFTY_SEVEN_00799803,HKD,hiq1,45781.760000000024,36
111,NEFU_FIFTY_SEVEN_00799803,JPY,tpu1,-35587.00000000003,154
112,NEFU_FIFTY_SEVEN_00799803,MYR,ikq1,-16.27,3
113,NEFU_FIFTY_SEVEN_00799803,SGD,qzq1,1860.0300000000043,30
114,NEFU_FIFTY_SEVEN_00799803,THB,bcu1,4577.85,17
115,NEFU_FIFTY_SEVEN_00799803,USD,ihm1,111.58,1
116,NEFU_FIFTY_SEVEN_00799803,USD,ihn1,119.15000000000009,6
117,NEFU_FIFTY_SEVEN_00799803,USD,twtn1,70.0,1
118,NEFU_FIFTY_SEVEN_00799803,USD,twtq1,-65450.000000000044,38
119,NEFU_FIFTY_SEVEN_00799803,USD,xun1,-91.20000000001954,48
120,NEFU_FIFTY_SEVEN_00799803,USD,xuq1,-52888.200000000004,20
121,NEFU_FIFTY_SEVEN_00799804,KRW,kaau1,-32021.2,9
122,NEFU_FIFTY_SEVEN_00799804,KRW,keu1,4.939999999999936,3
123,NEFU_FIFTY_SEVEN_00799804,KRW,kmu1,-6737.200000000015,122
124,NEFU_FIFTY_SEVEN_00799811,EUR,sxou1,-43.48,1
125,NEFU_FIFTY_SEVEN_00799811,HKD,hiu1,-1.44,1
126,NEFU_FIFTY_SEVEN_00799812,KRW,kmu1,-280.01,2
127,NEFU_FIFTY_SEVEN_00799814,KRW,kuq1,-19.09,1
128,NEFU_FIFTY_SEVEN_00799816,USD,btcj1 curncy,4117.56,2
129,NEFU_FIFTY_SEVEN_00799817,EUR,vgu1,-8.28,2
130,NEFU_FIFTY_SEVEN_L20099762,PLN,krsu1,-5275.570000000011,19
