,index,ViewData.InternalComment2
52,"Mandatory Corporate action to be booked in Integrata for SD 07-30,Facturation fee booked in Caceis. To be booked in Integrata,Transfer wire to be booked in Integrata,Mandatory corporate action booked at Caceis, Integrata yet to book,FX wires booked in Caceis. To be booked in Integrata,Collateral management feeds booked at Caceis . Integrata to book the same,Transfer wire booked at Caceis. Integrata to book the same,Mandatory corporate action booked at Caceis, Integrata yet to book ,Integrata yet to reflect the trade proceeds for S.D 08/14,Month end Interest for Sep'19 booked in CACEIS. To be booked in Integrata,DERIVATIVES TRN FEES booked to be booked in Integrata,Transfer wire to be posted in Integrata,Up/Down between PB and Feeder account,Caceis booked cancellation for 07-30 trade . lombard to advise,Mandatory Corporate action to be booked in Integrata for SD 04-05,Integrata to be booked for SD 04/05.,Caceis yet to reflect the trade proceeds for S.D 08/13,Mandatory Corporate action to be booked in Integrata for SD 08-01,Month end Interest for Aug'19 booked in CACEIS. To be booked in Integrata,Integrata yet to reflect the trade proceeds for S.D 08/15,Integrata yet to process the trade settlement proceeds for the SD of 08-26.,Difference in Dividend booked between Integrata and Caceis. Integrata booked in CAD however caceis is booked in USD currency,Integrata booked DVD in CAD ccy , Where as CACEIS booked in USD ccy,Difference in dividend booked between Integrata and Caceis. Integrata booked in USD, However caceis is reflecting in CAD,Integrata yet to process the trade settlement proceeds for the SD of 08-12.",281
53,Dividend to be posted at Integrata,254
54,Fee booked at Caceis. integrata to book the same,254
55,Transfer  wire booked at Caceis for SD 06-28-2021.  Integrata to book the same.,221
56,Transfer wire posted at Caceis for SD 06-18-2021. Integrata to book the same.,215
57,Transfer   wire booked at Caceis for the SD  of   06-04-2021. Integrata  to book  the same,212
58,Month  end Interest booked in Caceis. To be booked in Integrata,208
59,FX to  be  settled at Integrata for SD  07-30-2021,204
60,FX to be settled at integrata for SD 07-02-2021.,198
61,FACTURATION  FEES  booked at Caceis for SD :  07-08-2021. Integrata to book the same.,196
62,Wire to be posted at Caceis,169
63,FX  to  be  settled at Integrata  for  SD  08-16-2021,159
64,Redemption to be booked in Caceis,156
65,Fees  booked at Caceis for SD 06-28-2021. Integrata to book the same.,148
66,Integrata yet to book the trade proceeds for 06/11/2021,147
67,FX to be settled at Integrata for SD 07-23-2021.,144
68,External management fee booked at Caceis for SD : 08/12/2021. Integrata to book the same,144
69,Interest to be booked in Integrata,144
70,Wire to be booked in Integrata,141
71,CRISTALISATION FEES booked at Caceis. To be posted in Integrata,140
72,Caceis yet to book the dividend for S.D 06/05,140
73,Dividend to be booked in Caceis,140
74,Miscellaneous Entry booked at Caceis. Integrata to book the same,140
75,Cash plug in as of 07/02 posted per Andrew's mail confirmation on 07/02.,140
76,Transfer  wire booked at Caceis for the SD of 06-15-2021. Integrata to book the same,138
77,Transfer  wire booked at Caceis for the SD of  06-15-2021. Integrata to book the same,138
78,Distribution Fees booked at Caceis for SD :07-12-2021. Integrata to book the same,135
79,Transfer wire to be posted at Integrata for SD 07-01-2021.,132
80,FX to be settled at Integrata for SD 07-02-2021.,132
81,Transfer wire to be posted at Caceis,130
82,Transfer wire booked at Caceis for SD 06-18-2021. Integrata to book the same.,129
83,Fees booked at Caceis. Integrata to book the same,128
84,Caceis yet to process the trade settlement proceeds for the SD of 06-18-2020,126
85,Transfer  wire booked at Caceis for SD 06-23-2021.  Integrata to book the same.,120
86,Subscription posted at Integrata on 06/03/2021. Caceis to book the same.,108
87,AUM   plug  to match Caceis posted at   Integrata  for SD 06-02-2021.,108
88,Wire booked in Caceis for SD 07/29/2021. To be posted in Integrata,104
89,AUM    plug  to match Caceis posted  at   Integrata  for SD   06-09-2021.,98
90,AUM plug  to match Caceis posted at Integrata  for SD 06-10-2021.,96
91,Miscellaneous Entry posted at Caceis on 06/15/2021. Integrata to book the same.,94
92,AUM plug  to match Caceis posted at Integrata  for SD 06-11-2021.,94
93,Wire booked in Caceis for SD 06/14/2021. To be posted in Integrata,94
94,Transfer wire to be posted in Integrata for SD 05-15-2021.,94
95,AUM  plug  to match Caceis posted at  Integrata  for SD 06-14-2021.,92
96,FX to be settled at Integrata for SD 08-06-2021,91
97,FROC  payment booked at Caceis for SD : 08-12-2021. Integrata to book the same,87
98,AUM plug  to match Caceis posted at Integrata  for SD 06-17-2021.,86
99,Transfer wire booked at Caceis for SD 06-17-2021. Integrata to book the same.,84
100,Transfer  wire booked at Caceis for SD 06-22-2021. Integrata to book the same.,82
101,Transfer wire booked at Caceis for the SD of 07-22-2021. Integrata to book the same,77
102,AUM plug  to match Caceis posted at Integrata  for SD 06-24-2021.,76
103,Transfer wire posted at Caceis for SD 06-25-2021. Integrata to book the same.,76
104,Wire booked in Caceis for SD 06/23/2021. To be posted in Integrata,76
105,AUM  plug  to match Caceis posted at  Integrata  for SD 06-25-2021.,74
106,Transfer  wire booked at Caceis for SD 06-29-2021.  Integrata to book the same.,72
107,AUM plug  to match Caceis posted at Integrata  for SD 06-29-2021.,70
108,Transfer wire to be posted at Integrata for SD 06-30-2021.,70
109,AUM plug  to match Caceis posted at Integrata  for SD 06-30-2021.,68
110,AUM plug to match Caceis posted at Integrata for SD 07-01-2021.,66
111,Transfer wire to be posted at Integrata for SD 07-02-2021.,66
112,Transfer wire posted at Caceis. Integrata to book the same for SD 07-01-2021.,66
113,Research fees booked at Caceis for SD 07-20-2021 . To be posted in Integrata.,63
114,"AUM plug posted at Integrata  on SD 07/06/2021, Caceis to book the same",60
115,"Redemption booked at Integrata on 07/08/2021, Caceis to book the same",59
116,"INTERNAL CASH TRANSFER booked at Caceis on 07/08/2021 , Integrat to book the same",58
117,AUM plug  to match Caceis posted at Integrata  for SD 07/07/2021.,58
118,FROC payment booked at Caceis for SD: 08-12-2021. Integrata to book the same,57
119,"Transfer booked at Caceis on 07/08/2021 , Integrata to book the same",56
120,Transfer  wire booked at Caceis for the SD of   06-02-2021. Integrata to book the same,55
121,Transfer  wire booked at Caceis for the SD  of   06-01-2021. Integrata to book  the same,55
122,Transfer  wire booked at Caceis for the SD  of   06-02-2021. Integrata to book  the same,55
123,AUM  plug  to match Caceis posted at  Integrata  for SD 06-01-2021.,55
124,AUM   plug  to match Caceis posted at   Integrata  for SD 06-01-2021.,55
125,Transfer wire booked at Caceis for the SD of 07-23-2021. Integrata to book the same,54
126,Transfer  wire booked at Caceis for the SD  of   06-03-2021. Integrata to book  the same,54
127,Transfer   wire booked at Caceis for the SD   of   06-03-2021. Integrata to book  the same,54
128,Transfer   wire booked at Caceis for the SD  of   06-02-2021. Integrata  to book  the same,53
129,AUM    plug  to match Caceis posted at   Integrata  for SD  06-03-2021.,53
130,AUM   plug  to match Caceis posted at   Integrata  for SD 06-03-2021.,53
131,Transfer  wire booked at Caceis for the SD  of   06-04-2021. Integrata to book  the same,53
132,AUM plug  to match Caceis posted at Integrata for SD 07-12-2021.,52
133,Net Sub/Red - booked in Integrata. Caceis to book the same,52
134,Transfer  wire booked at Caceis for the SD  of   06-07-2021. Integrata to book  the same,52
135,Transfer   wire booked at Caceis for the SD  of   06-07-2021. Integrata  to book  the same,52
136,Transfer   wire booked at Caceis for the SD   of   06-08-2021. Integrata   to book  the same,51
137,Transfer    wire booked at Caceis for the SD    of   06-09-2021. Integrata   to book  the same,50
138,AUM plug  to match Caceis posted at Integrata  for SD 06-08-2021,50
139,AUM plug  to match Caceis posted at Integrata for SD 07-13-2021.,50
140,"AUM plug  to match Caceis posted at Integrata  for SD 06-08-2021
",50
141,Transfer    wire booked at Caceis for the  SD    of    06-09-2021. Integrata   to book  the same,49
142,Transfer wire to be posted at Integrata for SD 07-15-2021.,48
143,Net Sub/Red posted at Integrata on 06/10/2021 . Caceis to book the same,48
144,Caceis  yet to reflect proceeds for trade for SD 04-05-2021,46
145,Caceis  yet to reflect proceeds for trade for SD 05-03-2021,46
146,AUM plug  to match Caceis posted at Integrata for SD 07-15-2021.,46
147,Caceis  yet to reflect proceeds for trade for SD 04-01-2021,46
148,Caceis  yet to reflect proceeds for trade for SD 05-11-2021,46
149,Caceis  yet to reflect proceeds for trade for SD  03-31-2021,46
150,AUM plug  to match Caceis posted at Integrata for SD 07-05-2021.,46
151,Transfer  wire booked at Caceis for the SD of 06-16-2021. Integrata to book the same,45
152,Transfer   wire booked at Caceis for the SD of 06-14-2021. Integrata to book the same,45
153,AUM   plug  to match Caceis posted at  Integrata  for SD 06-15-2021.,45
154,Transfer   wire booked at Caceis for the SD of 06-16-2021. Integrata to book the same,45
155,AUM  plug  to match Caceis posted at  Integrata  for SD 06-15-2021.,45
156,"Dividend  booked in Caceis on 06/15/2021, Integrata to book the same",44
157,AUM   plug  to match Caceis posted at  Integrata  for SD 06-16-2021.,44
158,AUM plug  to match Caceis posted at Integrata  for SD 07-30-2021,44
