,ViewData.Currency,ViewData.Account Type,ViewData.Accounting Net Amount,ViewData.Task ID,ViewData.Source Combination Code,ViewData.Activity Code,ViewData.Age,ViewData.Age WK,ViewData.Asset Type Category,ViewData.Base Currency,ViewData.Base Net Amount,ViewData.Bloomberg_Yellow_Key,ViewData.B-P Net Amount,ViewData.BreakID,ViewData.Business Date,ViewData.Cancel Amount,ViewData.Cancel Flag,ViewData.CUSIP,ViewData.Custodian,ViewData.Custodian Account,ViewData.Derived Source,ViewData.Description,ViewData.Department,ViewData.ExpiryDate,ViewData.ExternalComment1,ViewData.ExternalComment2,ViewData.ExternalComment3,ViewData.Fund,ViewData.FX Rate,ViewData.Interest Amount,ViewData.InternalComment1,ViewData.InternalComment2,ViewData.InternalComment3,ViewData.Investment Type,ViewData.Is Combined Data,ViewData.ISIN,ViewData.Keys,ViewData.Mapped Custodian Account,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Non Trade Description,ViewData.OTE Custodian Account,ViewData.Price,ViewData.Prime Broker,ViewData.Quantity,ViewData.SEDOL,ViewData.Settle Date,ViewData.SPM ID,ViewData.Status,ViewData.Strike Price,ViewData.System Comments,ViewData.Ticker,ViewData.Trade Date,ViewData.Trade Expenses,ViewData.Transaction Category,ViewData.Transaction ID,ViewData.Transaction Type,ViewData.Underlying Cusip,ViewData.Underlying Investment ID,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Underlying Ticker,ViewData.Source Combination,ViewData._ID,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.Task Business Date,Date,flag_side0,flag_side1,Trans_side
10,USD,,,3791380114,94406485,,0,-1,STIF,,,,307938.9,1859551087,05-24-2021,0.0,,X9USD0023,BNY,527974,,BNY MELLON US TRSRY INSTL 703,,,,,,Arch HIC,,,,,,S,,X9X9USD00237,,OKMF86485302,307938.9,307938.9,,,1.0,BNY,-307938.9,9A00HFO,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e1,None,39_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
11,USD,,,3791380114,94406485,,0,-1,STIF,,,,-2732652.91,1859551086,05-24-2021,0.0,,X9USDFIIN,BNY,253640,,FIDELITY INVESTMENT MM GOV 1 57,,,,,,253640,,,,,,IM,,X9X9USDFIIN9,,OKMF86503202,-2732652.91,2732652.91,,,1.0,BNY,2732652.91,9A0W3JI,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e2,None,8_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
12,USD,,,3791380114,94406485,,0,-1,STIF,,,,-364277.17,1859551088,05-24-2021,0.0,,X9USDCTIV,BNY,483526,,COLLECTIVE US GOVT STIF 12 BPS,,,,,,TCDRS_HY,,,,,,IM,,X9X9USDCTIV6,,OKMF86474702,-364277.17,364277.17,,,1.0,BNY,364277.17,9A21VYS,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342df,None,30_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
13,USD,,,3791380114,94406485,,0,-1,STIF,,,,2062669.78,1859551089,05-24-2021,0.0,,X9USDEBTI,BNY,959692,,EB TEMPORARY INVESTMENT FEE CL 15,,,,,,WCTPT,,,,,,S,,X9X9USDEBTI4,,OKMF86487002,2062669.78,2062669.78,,,1.0,BNY,-2062669.78,9A1FT0B,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e3,None,85_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
14,USD,,,3791380114,94406485,,0,-1,STIF,,,,12.99,1859551090,05-24-2021,0.0,,X9USDBMCR,BNY,394583,,BNY MELLON CASH RESERVE,,,,,,394583,,,,,,S,,X9X9USDBMCR4,,Wespath I - BNYM,12.99,12.99,,,1.0,BNY,-12.99,9A0S7I1,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e4,None,17_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
15,USD,,,3791380114,94406485,,0,-1,STIF,,,,-497504.88,1859551092,05-24-2021,0.0,,X9USDFIIN,BNY,729820,,FIDELITY INVESTMENT MM GOV 1 57,,,,,,PG&E VEBA,,,,,,IM,,X9X9USDFIIN9,,OKMF86474102,-497504.88,497504.88,,,1.0,BNY,497504.88,9A0W3JI,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e6,None,62_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
16,USD,,,3791380114,94406485,,0,-1,STIF,,,,4227471.06,1859551091,05-24-2021,0.0,,X9USDUMCU,BNY,969453,,UMC CASH SWEEP ACT PROP CASH FD,,,,,,Wespath,,,,,,S,,X9X9USDUMCU8,,OKMF86474202,4227471.06,4227471.06,,,1.0,BNY,-4227471.06,9A3DXHK,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e8,None,91_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
17,USD,,,3791380114,94406485,,0,-1,STIF,,,,-3682705.41,1859551093,05-24-2021,0.0,,X9USDLLEC,BNY,729034,,COLLECTIVE US GOVT STIF 15 BPS,,,,,,PG&E,,,,,,IM,,X9X9USDLLEC3,,OKMF86474002,-3682705.41,3682705.41,,,1.0,BNY,3682705.41,9A21VY5,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342ec,None,50_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
18,USD,,,3791380114,94406485,,0,-1,STIF,,,,-465151.68,1859551094,05-24-2021,0.0,,X9USD0297,BNY,394583,,STAND SUPER STIF I,,,,,,394583,,,,,,IM,,X9X9USD02977,,Wespath I - BNYM,-465151.68,465151.68,,,1.0,BNY,465151.68,9A4PXEK,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e5,None,14_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
19,USD,,,3791380114,94406485,,0,-1,STIF,,,,2732652.91,1859551095,05-24-2021,0.0,,X9USDFIIN,BNY,253640,,FIDELITY INVESTMENT MM GOV 1 57,,,,,,253640,,,,,,S,,X9X9USDFIIN9,,OKMF86503202,2732652.91,2732652.91,,,1.0,BNY,-2732652.91,9A0W3JI,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e7,None,9_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
