,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
280,,73_2491430053_Barclays,1859897348,OB,UCB,Close,Close,,Barclays
291,,72_2491430053_Barclays,1859897331,OB,UCB,Close,Close,,Barclays
303,,69_2491430067_Barclays,1859905393,OB,UCB,Close,Close,,Barclays
305,,69_2491430053_Barclays,1859897371,OB,UCB,Close,Close,,Barclays
325,,79_2491400031_Barclays,1859744742,OB,UCB,Close,Close,,Barclays
326,,74_2491426018_Barclays,1859877584,OB,UCB,Close,Close,,Barclays
327,,78_2491426018_Barclays,1859877609,OB,UCB,Close,Close,,Barclays
328,,68_2491430067_Barclays,1859905407,OB,UCB,Close,Close,,Barclays
329,,78_2491400031_Barclays,1859744716,OB,UCB,Close,Close,,Barclays
330,,68_2491430053_Barclays,1859897360,OB,UCB,Close,Close,,Barclays
333,,79_2491426018_Barclays,1859877615,OB,UCB,Close,Close,,Barclays
381,,72_2491430067_Barclays,1859905411,OB,UCB,Close,Close,,Barclays
394,,74_2491430067_Barclays,1859905416,OB,UCB,Close,Close,,Barclays
395,,74_2491430053_Barclays,1859897332,OB,UCB,Close,Close,,Barclays
398,,76_2491426018_Barclays,1859877585,OB,UCB,Close,Close,,Barclays
399,,75_2491426018_Barclays,1859877573,OB,UCB,Close,Close,,Barclays
400,,80_2491400031_Barclays,1859744745,OB,UCB,Close,Close,,Barclays
401,,77_2491426018_Barclays,1859877597,OB,UCB,Close,Close,,Barclays
404,,73_2491430067_Barclays,1859905420,OB,UCB,Close,Close,,Barclays
431,,67_2491430067_Barclays,1859905435,OB,UCB,Close,Close,,Barclays
434,,67_2491430053_Barclays,1859897338,OB,UCB,Close,Close,,Barclays
