,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
16313,"39_455820754_Integrata,40_455820754_Integrata","81_455820754_CACEIS,87_455820754_CACEIS",1233849023,UMB,UMB,UMB_Carry_Forward,UMB,Difference in trade proceeds booked between Integrata and Caceis
16314,"19_455885370_Integrata,2_4551001817_Integrata,4_455900053_Integrata,3_455898221_Integrata,8_455900053_Integrata,20_455885370_Integrata,2_455898221_Integrata,1_4551001817_Integrata","592_455985296_CACEIS,12_455938724_CACEIS,591_455985296_CACEIS",1470738065,UMB,UMB,UMB_Carry_Forward,UMB,Difference in dividend between Integrata and Caceis
16317,"14_455820754_Integrata,15_455820754_Integrata","88_455820754_CACEIS,68_455820754_CACEIS",1233848684,UMB,UMB,UMB_Carry_Forward,UMB,Difference in trade proceeds booked between Integrata and Caceis
16319,"3_455871083_Integrata,1_455782293_Integrata,21_455871083_Integrata,1_455861455_Integrata,2_455855307_Integrata,9_455871083_Integrata,2_455782293_Integrata,23_455871083_Integrata","50_455861455_CACEIS,26_455861455_CACEIS,27_455785049_CACEIS",1298162377,UMB,UMB,UMB_Carry_Forward,UMB,Difference in trade settlements between Integrata and Caceis
16320,"16_455709628_Integrata,17_455709628_Integrata,18_455709628_Integrata,13_455709628_Integrata,15_455709628_Integrata,14_455709628_Integrata,12_455709628_Integrata","21_455709628_CACEIS,16_455709628_CACEIS",1086057182,UMB,UMB,UMB_Carry_Forward,UMB,Difference in net amount is due to difference of dividend booked between Integrata and Caceis
16321,"69_455820754_Integrata,66_455820754_Integrata,68_455820754_Integrata,67_455820754_Integrata","1225_455822501_CACEIS,1192_455822501_CACEIS,1223_455822501_CACEIS,84_455820754_CACEIS,1106_455822501_CACEIS",1251392952,UMB,UMB,UMB_Carry_Forward,UMB,Difference in trade proceeds booked between Integrata and Caceis
16322,"5_455848077_Integrata,4_455848077_Integrata","40_455851677_CACEIS,18_455851677_CACEIS,20_455851677_CACEIS",1273749547,UMB,UMB,UMB_Carry_Forward,UMB,Difference in dividend between Integrata and Caceis
16323,"26_455829798_Integrata,53_455820754_Integrata,25_455829798_Integrata,51_455820754_Integrata,52_455820754_Integrata,49_455820754_Integrata,22_455829798_Integrata,54_455820754_Integrata,23_455829798_Integrata,24_455829798_Integrata,27_455829798_Integrata,50_455820754_Integrata","1249_455822501_CACEIS,1252_455822501_CACEIS,1191_455822501_CACEIS,1196_455822501_CACEIS,1291_455822501_CACEIS,1195_455822501_CACEIS",1389467708,UMB,UMB,UMB_Carry_Forward,UMB,Difference in proceeds booked between Integrata and Caceis
16324,"53_455509747_Integrata,76_455471613_Integrata,63_455471613_Integrata,14_357741_Integrata,106_455391323_Integrata,47_455471613_Integrata,35_455400675_Integrata,30_455444459_Integrata,19_455447623_Integrata,1_455557513_Integrata,99_455391323_Integrata,41_455570278_Integrata,9_455427396_Integrata,2_455557513_Integrata,67_455471613_Integrata,68_455391323_Integrata,62_455570278_Integrata,1_455499153_Integrata,33_455512089_Integrata,15_357741_Integrata,21_455447623_Integrata,15_455436367_Integrata,14_455408517_Integrata,3_455557513_Integrata,15_455502734_Integrata,6_455398426_Integrata,20_455447623_Integrata,18_455509747_Integrata,53_455570278_Integrata,34_455512089_Integrata,9_455574099_Integrata,29_455444459_Integrata,3_455509747_Integrata,29_312100_Integrata,94_455391323_Integrata,35_455512089_Integrata,1_455507970_Integrata,23_455533322_Integrata,4_455557513_Integrata,1_455398426_Integrata,34_455400675_Integrata,17_455436367_Integrata,2_455499153_Integrata,16_455436367_Integrata,54_455509747_Integrata,95_286427_Integrata,56_455570278_Integrata,24_455533322_Integrata,8_455572473_Integrata,3_455434670_Integrata,16_455570278_Integrata,58_455570278_Integrata,5_455507970_Integrata","119_455568470_CACEIS,27_455506286_CACEIS,25_323468_CACEIS,40_294330_CACEIS,36_323468_CACEIS,90_455401727_CACEIS,30_455398426_CACEIS,11_455437952_CACEIS,70_328180_CACEIS,126_455568470_CACEIS,117_455568470_CACEIS,13_455538245_CACEIS,85_455401727_CACEIS,26_323468_CACEIS,1_307472_CACEIS,9_455492097_CACEIS,65_455495487_CACEIS,118_455568470_CACEIS,116_455568470_CACEIS,13_455520168_CACEIS,23_323468_CACEIS,30_455521804_CACEIS,64_455401727_CACEIS,64_455570278_CACEIS,53_324834_CACEIS,37_359430_CACEIS,18_455513732_CACEIS,24_323468_CACEIS,11_455459672_CACEIS,122_455568470_CACEIS,18_274438_CACEIS,17_455564840_CACEIS,22_359430_CACEIS,16_455466840_CACEIS,29_455455714_CACEIS,16_455447623_CACEIS,88_455570278_CACEIS,86_455383061_CACEIS,48_455430023_CACEIS,69_455495487_CACEIS,107_455391323_CACEIS,9_455437952_CACEIS,35_455528665_CACEIS,61_455570278_CACEIS,177_455533322_CACEIS,34_271886_CACEIS,29_455447623_CACEIS,21_455515517_CACEIS,28_455506286_CACEIS,15_455513732_CACEIS,53_341093_CACEIS,39_361798_CACEIS,35_455574099_CACEIS,89_455401727_CACEIS,85_455574099_CACEIS,23_306628_CACEIS,36_271886_CACEIS,68_455521804_CACEIS,22_455493832_CACEIS,15_350866_CACEIS,90_455383061_CACEIS,20_359430_CACEIS,87_455383061_CACEIS,71_328180_CACEIS,123_455568470_CACEIS,19_455543663_CACEIS,14_455437952_CACEIS,40_361798_CACEIS,125_455568470_CACEIS,14_455466840_CACEIS,124_455568470_CACEIS,42_294330_CACEIS,16_455515517_CACEIS,53_455574099_CACEIS,49_455430023_CACEIS,30_455530421_CACEIS,52_324834_CACEIS,31_455398426_CACEIS,113_455568470_CACEIS,25_455471613_CACEIS,99_455499153_CACEIS,22_455528665_CACEIS,35_455459672_CACEIS,15_455485058_CACEIS,12_455389747_CACEIS,82_455391323_CACEIS,15_455466840_CACEIS,63_455401727_CACEIS,18_455543663_CACEIS,27_455538245_CACEIS,348_368123_CACEIS,20_455515517_CACEIS,26_455538245_CACEIS,10_455459672_CACEIS,28_455447623_CACEIS,24_455411851_CACEIS,403_455516633_CACEIS",855919568,UMB,UMB,UMB_Carry_Forward,UMB,Difference in cash plug posted by Lombard for the SD of 10.01.
16325,"64_455820754_Integrata,65_455820754_Integrata","74_455820754_CACEIS,72_455820754_CACEIS",1233851626,UMB,UMB,UMB_Carry_Forward,UMB,Difference in trade proceeds booked between Integrata and Caceis
