,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
0,1_344898_Integrata,BB,496360324,OB,OB,No-pair,wire transfer,Integrata booked the wire transfer for SD 2019-03-26.Caceis yet to book.
1,20_4551313388_Integrata,BB,1883829152,UDB,OB,No-pair,proceeds sell,Integrata booked the Net Sub/Red for SD 2021-04-15.Caceis yet to book.
2,5_455923571_Integrata,BB,1369374365,OB,OB,No-pair,wire transfer,Integrata booked the Net Sub/Red for SD 2020-07-02.Caceis yet to book.
3,19_4551313388_Integrata,BB,1883825461,UDB,OB,No-pair,redemption,Integrata booked the redemption for SD 2021-04-15.Caceis yet to book.
4,7_4551171343_Integrata,BB,1696929164,OB,OB,No-pair,wire transfer,Integrata booked the Net Sub/Red for SD 2020-12-31.Caceis yet to book.
5,23_4551180537_Integrata,BB,1707592392,OB,OB,No-pair,wire transfer,Integrata booked the subscription for SD 2021-01-07.Caceis yet to book.
6,13_455725302_Integrata,BB,1105491795,OB,OB,No-pair,redemption,Integrata booked the redemption for SD 2020-01-30.Caceis yet to book.
7,72_455914788_Integrata,BB,1356802593,OB,OB,No-pair,wire transfer,Integrata booked the subscription for SD 2020-06-25.Caceis yet to book.
8,1_455797794_Integrata,BB,1203323424,OB,OB,No-pair,redemption,Integrata booked the redemption for SD 2020-03-26.Caceis yet to book.
9,6_455709628_Integrata,BB,1085770890,OB,OB,No-pair,redemption,Integrata booked the redemption for SD 2020-01-17.Caceis yet to book.
10,2_4551326398_Integrata,BB,1900587945,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-04-23.Caceis yet to book.
11,4_4551324555_Integrata,BB,1898109358,OB,OB,No-pair,redemption,Integrata booked the redemption for SD 2021-04-22.Caceis yet to book.
12,6_455734639_Integrata,BB,1118103067,OB,OB,No-pair,wire transfer,Integrata booked the Net Sub/Red for SD 2020-02-06.Caceis yet to book.
13,2_4551260237_Integrata,BB,1815145564,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-03-05.Caceis yet to book.
14,2_4551222350_Integrata,BB,1765090288,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-02-05.Caceis yet to book.
15,12_4551085502_Integrata,BB,1581818063,OB,OB,No-pair,wire transfer,Integrata booked the wire transfer for SD 2020-10-27.Caceis yet to book.
16,4_4551218474_Integrata,BB,1759361012,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-02-03.Caceis yet to book.
17,3_4551324555_Integrata,BB,1898109354,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-04-21.Caceis yet to book.
