,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns
0,44_2491400067_Integrata,,1859769610,OB,UCB,Close,Close,,UBS,1859769610
1,44_2491400081_Integrata,,1859772797,OB,UCB,Close,Close,,UBS,1859772797
2,100_2491400081_Integrata,,1859772815,OB,UCB,Close,Close,,UBS,1859772815
3,100_2491400067_Integrata,,1859769598,OB,UCB,Close,Close,,UBS,1859769598
4,3_2491400067_Integrata,,1859769354,OB,UCB,Close,Close,,UBS,1859769354
5,3_2491400081_Integrata,,1859772553,OB,UCB,Close,Close,,UBS,1859772553
6,,222_2491400081_UBS,1859772823,OB,UCB,Close,Close,,UBS,1859772823
7,,222_2491400067_UBS,1859769626,OB,UCB,Close,Close,,UBS,1859769626
8,,77_2491400067_UBS,1859769619,OB,UCB,Close,Close,,UBS,1859769619
9,,77_2491400081_UBS,1859772822,OB,UCB,Close,Close,,UBS,1859772822
10,,230_2491400081_UBS,1859772829,OB,UCB,Close,Close,,UBS,1859772829
11,,230_2491400067_UBS,1859769632,OB,UCB,Close,Close,,UBS,1859769632
12,,235_2491400067_UBS,1859769365,OB,UCB,Close,Close,,UBS,1859769365
13,,235_2491400081_UBS,1859772570,OB,UCB,Close,Close,,UBS,1859772570
14,,198_2491400081_UBS,1859772564,OB,UCB,Close,Close,,UBS,1859772564
15,,198_2491400067_UBS,1859769369,OB,UCB,Close,Close,,UBS,1859769369
16,,85_2491400067_UBS,1859769375,OB,UCB,Close,Close,,UBS,1859769375
17,,85_2491400081_UBS,1859772566,OB,UCB,Close,Close,,UBS,1859772566
18,,229_2491400067_UBS,1859769629,OB,UCB,Close,Close,,UBS,1859769629
19,,229_2491400081_UBS,1859772811,OB,UCB,Close,Close,,UBS,1859772811
20,,80_2491400081_UBS,1859772555,OB,UCB,Close,Close,,UBS,1859772555
21,,80_2491400067_UBS,1859769356,OB,UCB,Close,Close,,UBS,1859769356
22,,227_2491400067_UBS,1859769631,OB,UCB,Close,Close,,UBS,1859769631
23,,227_2491400081_UBS,1859772802,OB,UCB,Close,Close,,UBS,1859772802
24,,201_2491400067_UBS,1859769361,OB,UCB,Close,Close,,UBS,1859769361
25,,201_2491400081_UBS,1859772560,OB,UCB,Close,Close,,UBS,1859772560
26,,87_2491400081_UBS,1859772562,OB,UCB,Close,Close,,UBS,1859772562
27,,87_2491400067_UBS,1859769364,OB,UCB,Close,Close,,UBS,1859769364
28,,183_2491400067_UBS,1859769618,OB,UCB,Close,Close,,UBS,1859769618
29,,183_2491400081_UBS,1859772828,OB,UCB,Close,Close,,UBS,1859772828
30,,83_2491400081_UBS,1859772565,OB,UCB,Close,Close,,UBS,1859772565
31,,83_2491400067_UBS,1859769362,OB,UCB,Close,Close,,UBS,1859769362
32,,82_2491400067_UBS,1859769355,OB,UCB,Close,Close,,UBS,1859769355
33,,82_2491400081_UBS,1859772557,OB,UCB,Close,Close,,UBS,1859772557
34,,180_2491400067_UBS,1859769623,OB,UCB,Close,Close,,UBS,1859769623
35,,180_2491400081_UBS,1859772807,OB,UCB,Close,Close,,UBS,1859772807
36,,226_2491400081_UBS,1859772825,OB,UCB,Close,Close,,UBS,1859772825
37,,226_2491400067_UBS,1859769621,OB,UCB,Close,Close,,UBS,1859769621
38,,234_2491400081_UBS,1859772574,OB,UCB,Close,Close,,UBS,1859772574
39,,234_2491400067_UBS,1859769360,OB,UCB,Close,Close,,UBS,1859769360
40,,197_2491400067_UBS,1859769368,OB,UCB,Close,Close,,UBS,1859769368
41,,197_2491400081_UBS,1859772559,OB,UCB,Close,Close,,UBS,1859772559
42,,75_2491400067_UBS,1859769603,OB,UCB,Close,Close,,UBS,1859769603
43,,75_2491400081_UBS,1859772814,OB,UCB,Close,Close,,UBS,1859772814
44,,239_2491400067_UBS,1859769377,OB,UCB,Close,Close,,UBS,1859769377
45,,239_2491400081_UBS,1859772576,OB,UCB,Close,Close,,UBS,1859772576
46,,200_2491400081_UBS,1859772568,OB,UCB,Close,Close,,UBS,1859772568
47,,200_2491400067_UBS,1859769370,OB,UCB,Close,Close,,UBS,1859769370
48,,237_2491400067_UBS,1859769376,OB,UCB,Close,Close,,UBS,1859769376
49,,237_2491400081_UBS,1859772575,OB,UCB,Close,Close,,UBS,1859772575
50,,196_2491400067_UBS,1859769363,OB,UCB,Close,Close,,UBS,1859769363
51,,196_2491400081_UBS,1859772561,OB,UCB,Close,Close,,UBS,1859772561
52,,76_2491400067_UBS,1859769613,OB,UCB,Close,Close,,UBS,1859769613
53,,76_2491400081_UBS,1859772826,OB,UCB,Close,Close,,UBS,1859772826
54,,178_2491400067_UBS,1859769604,OB,UCB,Close,Close,,UBS,1859769604
55,,178_2491400081_UBS,1859772830,OB,UCB,Close,Close,,UBS,1859772830
56,,195_2491400081_UBS,1859772554,OB,UCB,Close,Close,,UBS,1859772554
57,,195_2491400067_UBS,1859769359,OB,UCB,Close,Close,,UBS,1859769359
58,,231_2491400081_UBS,1859772832,OB,UCB,Close,Close,,UBS,1859772832
59,,231_2491400067_UBS,1859769633,OB,UCB,Close,Close,,UBS,1859769633
60,,238_2491400081_UBS,1859772571,OB,UCB,Close,Close,,UBS,1859772571
61,,238_2491400067_UBS,1859769373,OB,UCB,Close,Close,,UBS,1859769373
62,,70_2491400067_UBS,1859769597,OB,UCB,Close,Close,,UBS,1859769597
63,,70_2491400081_UBS,1859772800,OB,UCB,Close,Close,,UBS,1859772800
64,,71_2491400081_UBS,1859772806,OB,UCB,Close,Close,,UBS,1859772806
65,,71_2491400067_UBS,1859769602,OB,UCB,Close,Close,,UBS,1859769602
66,,182_2491400081_UBS,1859772818,OB,UCB,Close,Close,,UBS,1859772818
67,,182_2491400067_UBS,1859769612,OB,UCB,Close,Close,,UBS,1859769612
68,,73_2491400067_UBS,1859769615,OB,UCB,Close,Close,,UBS,1859769615
69,,73_2491400081_UBS,1859772810,OB,UCB,Close,Close,,UBS,1859772810
70,,202_2491400081_UBS,1859772567,OB,UCB,Close,Close,,UBS,1859772567
71,,202_2491400067_UBS,1859769367,OB,UCB,Close,Close,,UBS,1859769367
72,,81_2491400081_UBS,1859772563,OB,UCB,Close,Close,,UBS,1859772563
73,,81_2491400067_UBS,1859769366,OB,UCB,Close,Close,,UBS,1859769366
74,,241_2491400081_UBS,1859772577,OB,UCB,Close,Close,,UBS,1859772577
75,,241_2491400067_UBS,1859769378,OB,UCB,Close,Close,,UBS,1859769378
76,,228_2491400067_UBS,1859769630,OB,UCB,Close,Close,,UBS,1859769630
77,,228_2491400081_UBS,1859772820,OB,UCB,Close,Close,,UBS,1859772820
78,,86_2491400081_UBS,1859772556,OB,UCB,Close,Close,,UBS,1859772556
79,,86_2491400067_UBS,1859769357,OB,UCB,Close,Close,,UBS,1859769357
80,,74_2491400067_UBS,1859769620,OB,UCB,Close,Close,,UBS,1859769620
81,,74_2491400081_UBS,1859772817,OB,UCB,Close,Close,,UBS,1859772817
82,,185_2491400067_UBS,1859769627,OB,UCB,Close,Close,,UBS,1859769627
83,,185_2491400081_UBS,1859772809,OB,UCB,Close,Close,,UBS,1859772809
84,,199_2491400081_UBS,1859772573,OB,UCB,Close,Close,,UBS,1859772573
85,,199_2491400067_UBS,1859769371,OB,UCB,Close,Close,,UBS,1859769371
86,,184_2491400067_UBS,1859769628,OB,UCB,Close,Close,,UBS,1859769628
87,,184_2491400081_UBS,1859772824,OB,UCB,Close,Close,,UBS,1859772824
88,,84_2491400081_UBS,1859772558,OB,UCB,Close,Close,,UBS,1859772558
89,,84_2491400067_UBS,1859769358,OB,UCB,Close,Close,,UBS,1859769358
90,,181_2491400081_UBS,1859772798,OB,UCB,Close,Close,,UBS,1859772798
91,,181_2491400067_UBS,1859769624,OB,UCB,Close,Close,,UBS,1859769624
92,,179_2491400067_UBS,1859769611,OB,UCB,Close,Close,,UBS,1859769611
93,,179_2491400081_UBS,1859772804,OB,UCB,Close,Close,,UBS,1859772804
94,,236_2491400067_UBS,1859769372,OB,UCB,Close,Close,,UBS,1859769372
95,,236_2491400081_UBS,1859772569,OB,UCB,Close,Close,,UBS,1859772569
96,,72_2491400067_UBS,1859769609,OB,UCB,Close,Close,,UBS,1859769609
97,,72_2491400081_UBS,1859772808,OB,UCB,Close,Close,,UBS,1859772808
98,,225_2491400081_UBS,1859772819,OB,UCB,Close,Close,,UBS,1859772819
99,,225_2491400067_UBS,1859769625,OB,UCB,Close,Close,,UBS,1859769625
100,,240_2491400067_UBS,1859769374,OB,UCB,Close,Close,,UBS,1859769374
101,,240_2491400081_UBS,1859772572,OB,UCB,Close,Close,,UBS,1859772572
102,,224_2491400067_UBS,1859769616,OB,UCB,Close,Close,,UBS,1859769616
103,,224_2491400081_UBS,1859772827,OB,UCB,Close,Close,,UBS,1859772827
104,,220_2491400081_UBS,1859772813,OB,UCB,Close,Close,,UBS,1859772813
105,,220_2491400067_UBS,1859769600,OB,UCB,Close,Close,,UBS,1859769600
106,,6_2491400027_UBS,1859744546,OB,UCB,Close,Close,,UBS,1859744546
107,,221_2491400067_UBS,1859769726,OB,UCB,Close,Close,,UBS,1859769726
108,,221_2491400081_UBS,1859772880,OB,UCB,Close,Close,,UBS,1859772880
109,,219_2491400081_UBS,1859772868,OB,UCB,Close,Close,,UBS,1859772868
110,,219_2491400067_UBS,1859769718,OB,UCB,Close,Close,,UBS,1859769718
111,,11_2491430081_UBS,1859922476,OB,UCB,Close,Close,,UBS,1859922476
112,,7_2491430081_UBS,1859922474,OB,UCB,Close,Close,,UBS,1859922474
113,,11_2491400081_UBS,1859772909,OB,UCB,Close,Close,,UBS,1859772909
114,,11_2491400067_UBS,1859769700,OB,UCB,Close,Close,,UBS,1859769700
115,,7_2491400081_UBS,1859772910,OB,UCB,Close,Close,,UBS,1859772910
116,,7_2491400067_UBS,1859769693,OB,UCB,Close,Close,,UBS,1859769693
117,,223_2491400067_UBS,1859769678,OB,UCB,Close,Close,,UBS,1859769678
118,,223_2491400081_UBS,1859772853,OB,UCB,Close,Close,,UBS,1859772853
119,,12_2491430081_UBS,1859922470,OB,UCB,Close,Close,,UBS,1859922470
120,,6_2491430081_UBS,1859922467,OB,UCB,Close,Close,,UBS,1859922467
121,,6_2491430285_UBS,1860075746,OB,UCB,Close,Close,,UBS,1860075746
122,,11_2491400027_UBS,1859744534,OB,UCB,Close,Close,,UBS,1859744534
123,,7_2491400027_UBS,1859744542,OB,UCB,Close,Close,,UBS,1859744542
124,,11_2491430285_UBS,1860075749,OB,UCB,Close,Close,,UBS,1860075749
125,,11_2491430049_UBS,1859897215,OB,UCB,Close,Close,,UBS,1859897215
126,,11_2491430061_UBS,1859904917,OB,UCB,Close,Close,,UBS,1859904917
127,,218_2491400081_UBS,1859772860,OB,UCB,Close,Close,,UBS,1859772860
128,,12_2491430061_UBS,1859904919,OB,UCB,Close,Close,,UBS,1859904919
129,,6_2491430049_UBS,1859897213,OB,UCB,Close,Close,,UBS,1859897213
130,,12_2491430049_UBS,1859897218,OB,UCB,Close,Close,,UBS,1859897218
131,,218_2491400067_UBS,1859769694,OB,UCB,Close,Close,,UBS,1859769694
132,,6_2491430061_UBS,1859904915,OB,UCB,Close,Close,,UBS,1859904915
133,,7_2491430061_UBS,1859904918,OB,UCB,Close,Close,,UBS,1859904918
134,,7_2491430049_UBS,1859897216,OB,UCB,Close,Close,,UBS,1859897216
135,,1_2491430081_UBS,1859922445,OB,UCB,Close,Close,,UBS,1859922445
136,,2_2491430081_UBS,1859922451,OB,UCB,Close,Close,,UBS,1859922451
137,,1_2491430049_UBS,1859897199,OB,UCB,Close,Close,,UBS,1859897199
