,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns
0,,24_2491495677_UBS,2128096157,CNF,UCB,Close,Close,,UBS,2128096157
1,,1_2491495677_UBS,2128096322,OB,UCB,Close,Close,,UBS,2128096322
2,,166_2491073282_UBS,1566187565,OB,UCB,Close,Close,,UBS,1566187565
3,,169_249831032_UBS,1246012736,OB,UCB,Close,Close,,UBS,1246012736
4,,161_2491443683_UBS,2058655905,OB,UCB,Close,Close,,UBS,2058655905
5,,185_2491276790_UBS,1837024351,OB,UCB,Close,Close,,UBS,1837024351
6,,188_2491238233_UBS,1787477082,OB,UCB,Close,Close,,UBS,1787477082
7,,240_249947534_UBS,1401786069,OB,UCB,Close,Close,,UBS,1401786069
8,,137_249788078_UBS,1191199782,OB,UCB,Close,Close,,UBS,1191199782
9,,167_249831032_UBS,1246012730,OB,UCB,Close,Close,,UBS,1246012730
10,,242_2491196372_UBS,1729611507,OB,UCB,Close,Close,,UBS,1729611507
11,,117_2491403450_UBS,2008157589,OB,UCB,Close,Close,,UBS,2008157589
12,,187_2491320026_UBS,1892570163,OB,UCB,Close,Close,,UBS,1892570163
13,,75_249987817_UBS,1453049486,OB,UCB,Close,Close,,UBS,1453049486
14,,186_2491238233_UBS,1787477081,OB,UCB,Close,Close,,UBS,1787477081
15,,220_2491402505_UBS,2006721615,OB,UCB,Close,Close,,UBS,2006721615
16,,176_2491114307_UBS,1620407392,OB,UCB,Close,Close,,UBS,1620407392
17,,118_2491403450_UBS,2008157644,OB,UCB,Close,Close,,UBS,2008157644
18,,149_2491274656_UBS,1834529764,OB,UCB,Close,Close,,UBS,1834529764
19,,223_2491402505_UBS,2006721711,OB,UCB,Close,Close,,UBS,2006721711
20,,130_249987817_UBS,1453049490,OB,UCB,Close,Close,,UBS,1453049490
21,,134_249987817_UBS,1453049489,OB,UCB,Close,Close,,UBS,1453049489
22,,161_2491156763_UBS,1677285639,OB,UCB,Close,Close,,UBS,1677285639
23,,79_2491290069_UBS,1854343913,OB,UCB,Close,Close,,UBS,1854343913
