,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
1394,AA,331_4551294438_CACEIS,1859497571,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1395,AA,135_4551294430_CACEIS,1859495822,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1396,AA,60_4551294432_CACEIS,1859496747,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1397,AA,141_4551294438_CACEIS,1859497643,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1398,AA,137_4551294437_CACEIS,1859497265,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1399,AA,281_4551294440_CACEIS,1859498517,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1400,AA,244_4551294430_CACEIS,1859495920,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1401,AA,135_4551294440_CACEIS,1859498352,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1402,AA,97_4551294441_CACEIS,1859498670,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1403,AA,331_4551294437_CACEIS,1859497463,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1404,AA,39_4551294441_CACEIS,1859498855,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1405,AA,60_4551294441_CACEIS,1859498702,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1406,AA,244_4551294437_CACEIS,1859497429,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1407,AA,135_4551294439_CACEIS,1859498105,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1408,AA,281_4551294441_CACEIS,1859498797,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1409,AA,137_4551294440_CACEIS,1859498391,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1410,AA,141_4551294437_CACEIS,1859497344,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1411,AA,97_4551294432_CACEIS,1859496725,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1412,AA,244_4551294440_CACEIS,1859498448,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1413,AA,135_4551294437_CACEIS,1859497217,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1414,AA,39_4551294439_CACEIS,1859497943,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1415,AA,60_4551294440_CACEIS,1859498500,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1416,AA,331_4551294430_CACEIS,1859495850,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1417,AA,141_4551294432_CACEIS,1859496453,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1418,AA,244_4551294439_CACEIS,1859498091,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1419,AA,281_4551294432_CACEIS,1859496717,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1420,AA,300_4551294430_CACEIS,1859496036,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1421,AA,137_4551294430_CACEIS,1859495877,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1422,AA,97_4551294439_CACEIS,1859498089,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1423,AA,323_4551294430_CACEIS,1859495858,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1424,AA,39_4551294440_CACEIS,1859498429,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
