,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,first_non_null_breakid_in_breakid_columns,ViewData.BreakID,ViewData.Task ID,ViewData.Source Combination Code,BusinessDate
0,"12_4551294432_Integrata,12_4551294439_Integrata,11_4551294436_Integrata,12_4551294440_Integrata,12_4551294430_Integrata,11_4551294432_Integrata,12_4551294436_Integrata,12_4551294438_Integrata,11_4551294439_Integrata,11_4551294441_Integrata,12_4551294441_Integrata,11_4551294438_Integrata,11_4551294437_Integrata,12_4551294437_Integrata,11_4551294430_Integrata,11_4551294440_Integrata","191_4551294430_CACEIS,191_4551294437_CACEIS,191_4551294432_CACEIS,191_4551294436_CACEIS,191_4551294439_CACEIS,191_4551294441_CACEIS,191_4551294438_CACEIS,191_4551294440_CACEIS","1859496448,1859497908,1859496811,1859498255,1859495776,1859496447,1859496826,1859497538,1859497893,1859498615,1859498618,1859497533,1859497176,1859497179,1859495780,1859498257,1859496087,1859497494,1859496768,1859497127,1859498199,1859498925,1859497847,1859498577","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1859496448,1859496448,4551380013,-590882299,2021-05-24
1,"3_4551294437_Integrata,5_4551294430_Integrata,4_4551294436_Integrata,3_4551294440_Integrata,5_4551294438_Integrata,3_4551294436_Integrata,3_4551294438_Integrata,5_4551294440_Integrata,3_4551294441_Integrata,4_4551294440_Integrata,3_4551294432_Integrata,3_4551294430_Integrata,5_4551294437_Integrata,5_4551294436_Integrata,4_4551294437_Integrata,4_4551294438_Integrata,5_4551294439_Integrata,3_4551294439_Integrata,4_4551294432_Integrata,5_4551294432_Integrata,5_4551294441_Integrata,4_4551294439_Integrata,4_4551294441_Integrata,4_4551294430_Integrata","183_4551294439_CACEIS,183_4551294437_CACEIS,183_4551294440_CACEIS,183_4551294436_CACEIS,183_4551294438_CACEIS,183_4551294441_CACEIS,183_4551294432_CACEIS,183_4551294430_CACEIS","1859497178,1859495779,1859496813,1859498261,1859497532,1859496827,1859497539,1859498265,1859498619,1859498263,1859496452,1859495777,1859497196,1859496818,1859497174,1859497534,1859497898,1859497894,1859496444,1859496456,1859498620,1859497895,1859498623,1859495774,1859498207,1859497495,1859498575,1859497132,1859497850,1859498937,1859496764,1859496093","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1859497178,1859497178,4551380013,-590882299,2021-05-24
2,2_4551294440_Integrata,,1859498280,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859498280,1859498280,4551380013,-590882299,2021-05-24
3,2_4551294436_Integrata,,1859496817,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496817,1859496817,4551380013,-590882299,2021-05-24
4,2_4551294430_Integrata,,1859495771,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859495771,1859495771,4551380013,-590882299,2021-05-24
5,2_4551294439_Integrata,,1859497907,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497907,1859497907,4551380013,-590882299,2021-05-24
6,2_4551294437_Integrata,,1859497180,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497180,1859497180,4551380013,-590882299,2021-05-24
7,2_4551294441_Integrata,,1859498621,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859498621,1859498621,4551380013,-590882299,2021-05-24
8,2_4551294438_Integrata,,1859497536,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497536,1859497536,4551380013,-590882299,2021-05-24
9,1_4551294432_Integrata,,1859496457,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496457,1859496457,4551380013,-590882299,2021-05-24
10,1_4551294437_Integrata,,1859497177,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497177,1859497177,4551380013,-590882299,2021-05-24
11,2_4551294432_Integrata,,1859496459,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496459,1859496459,4551380013,-590882299,2021-05-24
12,1_4551294436_Integrata,,1859496815,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496815,1859496815,4551380013,-590882299,2021-05-24
13,1_4551294441_Integrata,,1859498617,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859498617,1859498617,4551380013,-590882299,2021-05-24
14,1_4551294440_Integrata,,1859498260,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859498260,1859498260,4551380013,-590882299,2021-05-24
15,1_4551294430_Integrata,,1859495772,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859495772,1859495772,4551380013,-590882299,2021-05-24
16,1_4551294439_Integrata,,1859497896,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497896,1859497896,4551380013,-590882299,2021-05-24
17,1_4551294438_Integrata,,1859497537,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497537,1859497537,4551380013,-590882299,2021-05-24
18,,31_4551294439_CACEIS,1859498192,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498192,1859498192,4551380013,-590882299,2021-05-24
19,,264_4551294439_CACEIS,1859497969,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497969,1859497969,4551380013,-590882299,2021-05-24
20,,31_4551294438_CACEIS,1859497793,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497793,1859497793,4551380013,-590882299,2021-05-24
21,,264_4551294440_CACEIS,1859498386,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498386,1859498386,4551380013,-590882299,2021-05-24
22,,31_4551294437_CACEIS,1859497448,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497448,1859497448,4551380013,-590882299,2021-05-24
23,,264_4551294436_CACEIS,1859497112,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497112,1859497112,4551380013,-590882299,2021-05-24
24,,31_4551294432_CACEIS,1859496728,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496728,1859496728,4551380013,-590882299,2021-05-24
25,,272_4551294440_CACEIS,1859498475,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498475,1859498475,4551380013,-590882299,2021-05-24
26,,264_4551294437_CACEIS,1859497425,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497425,1859497425,4551380013,-590882299,2021-05-24
27,,87_4551294432_CACEIS,1859496631,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496631,1859496631,4551380013,-590882299,2021-05-24
28,,31_4551294430_CACEIS,1859496048,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496048,1859496048,4551380013,-590882299,2021-05-24
29,,127_4551294430_CACEIS,1859496071,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496071,1859496071,4551380013,-590882299,2021-05-24
30,,264_4551294430_CACEIS,1859495798,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495798,1859495798,4551380013,-590882299,2021-05-24
31,,31_4551294436_CACEIS,1859497093,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497093,1859497093,4551380013,-590882299,2021-05-24
32,,87_4551294440_CACEIS,1859498407,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498407,1859498407,4551380013,-590882299,2021-05-24
