,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,first_non_null_breakid_in_breakid_columns
0,"12_4551294432_Integrata,12_4551294439_Integrata,11_4551294436_Integrata,12_4551294440_Integrata,12_4551294430_Integrata,11_4551294432_Integrata,12_4551294436_Integrata,12_4551294438_Integrata,11_4551294439_Integrata,11_4551294441_Integrata,12_4551294441_Integrata,11_4551294438_Integrata,11_4551294437_Integrata,12_4551294437_Integrata,11_4551294430_Integrata,11_4551294440_Integrata","191_4551294430_CACEIS,191_4551294437_CACEIS,191_4551294432_CACEIS,191_4551294436_CACEIS,191_4551294439_CACEIS,191_4551294441_CACEIS,191_4551294438_CACEIS,191_4551294440_CACEIS","1859496448,1859497908,1859496811,1859498255,1859495776,1859496447,1859496826,1859497538,1859497893,1859498615,1859498618,1859497533,1859497176,1859497179,1859495780,1859498257,1859496087,1859497494,1859496768,1859497127,1859498199,1859498925,1859497847,1859498577","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1859496448
1,"3_4551294437_Integrata,5_4551294430_Integrata,4_4551294436_Integrata,3_4551294440_Integrata,5_4551294438_Integrata,3_4551294436_Integrata,3_4551294438_Integrata,5_4551294440_Integrata,3_4551294441_Integrata,4_4551294440_Integrata,3_4551294432_Integrata,3_4551294430_Integrata,5_4551294437_Integrata,5_4551294436_Integrata,4_4551294437_Integrata,4_4551294438_Integrata,5_4551294439_Integrata,3_4551294439_Integrata,4_4551294432_Integrata,5_4551294432_Integrata,5_4551294441_Integrata,4_4551294439_Integrata,4_4551294441_Integrata,4_4551294430_Integrata","183_4551294439_CACEIS,183_4551294437_CACEIS,183_4551294440_CACEIS,183_4551294436_CACEIS,183_4551294438_CACEIS,183_4551294441_CACEIS,183_4551294432_CACEIS,183_4551294430_CACEIS","1859497178,1859495779,1859496813,1859498261,1859497532,1859496827,1859497539,1859498265,1859498619,1859498263,1859496452,1859495777,1859497196,1859496818,1859497174,1859497534,1859497898,1859497894,1859496444,1859496456,1859498620,1859497895,1859498623,1859495774,1859498207,1859497495,1859498575,1859497132,1859497850,1859498937,1859496764,1859496093","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1859497178
2,2_4551294440_Integrata,,1859498280,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859498280
3,2_4551294436_Integrata,,1859496817,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496817
4,2_4551294430_Integrata,,1859495771,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859495771
5,2_4551294439_Integrata,,1859497907,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497907
6,2_4551294437_Integrata,,1859497180,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497180
7,2_4551294441_Integrata,,1859498621,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859498621
8,2_4551294438_Integrata,,1859497536,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497536
9,1_4551294432_Integrata,,1859496457,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496457
10,1_4551294437_Integrata,,1859497177,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497177
11,2_4551294432_Integrata,,1859496459,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496459
12,1_4551294436_Integrata,,1859496815,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496815
13,1_4551294441_Integrata,,1859498617,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859498617
