,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns
0,,1_2491143215_Bank of America Merrill Lynch,1659043270,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1659043270
1,,6_2491067550_Bank of America Merrill Lynch,1558564562,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1558564562
2,,15_249962876_Bank of America Merrill Lynch,1421188031,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1421188031
3,,2_2491470104_Bank of America Merrill Lynch,1860358629,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860358629
4,,1_2491470104_Bank of America Merrill Lynch,1860358630,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860358630
5,,1_2491470172_Bank of America Merrill Lynch,1860384708,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860384708
6,,1_2491067550_Bank of America Merrill Lynch,1558564557,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1558564557
7,,2_2491145203_Bank of America Merrill Lynch,1661679611,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1661679611
8,,14_249962876_Bank of America Merrill Lynch,1421188034,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1421188034
9,,2_2491470172_Bank of America Merrill Lynch,1860384709,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860384709
10,,9_2491032870_Bank of America Merrill Lynch,1513179393,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179393
11,,10_2491171340_Bank of America Merrill Lynch,1696929138,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1696929138
12,,19_2491171340_Bank of America Merrill Lynch,1696929128,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1696929128
13,,10_2491032870_Bank of America Merrill Lynch,1513179394,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179394
14,,20_2491171340_Bank of America Merrill Lynch,1696929130,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1696929130
15,,2_2491034735_Bank of America Merrill Lynch,1515563075,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1515563075
16,,7_2491034735_Bank of America Merrill Lynch,1515563096,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1515563096
17,,5_2491034735_Bank of America Merrill Lynch,1515563080,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1515563080
18,,8_2491034735_Bank of America Merrill Lynch,1515563097,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1515563097
19,,6_2491032870_Bank of America Merrill Lynch,1513179390,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179390
20,,9_2491034735_Bank of America Merrill Lynch,1515563098,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1515563098
21,,4_2491032870_Bank of America Merrill Lynch,1513179388,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179388
22,,6_2491034735_Bank of America Merrill Lynch,1515563095,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1515563095
23,,13_2491171340_Bank of America Merrill Lynch,1696929144,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1696929144
24,,2_2491032870_Bank of America Merrill Lynch,1513179386,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179386
25,,18_2491171340_Bank of America Merrill Lynch,1696929125,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1696929125
26,,23_2491171340_Bank of America Merrill Lynch,1696929134,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1696929134
27,,7_2491032870_Bank of America Merrill Lynch,1513179391,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179391
28,,8_2491032870_Bank of America Merrill Lynch,1513179392,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179392
29,,14_2491171340_Bank of America Merrill Lynch,1696929145,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1696929145
30,,3_2491032870_Bank of America Merrill Lynch,1513179387,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179387
31,,5_2491032870_Bank of America Merrill Lynch,1513179389,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1513179389
32,,11_330824_Bank of America Merrill Lynch,476854875,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854875
33,,9_330824_Bank of America Merrill Lynch,476854873,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854873
34,,10_330824_Bank of America Merrill Lynch,476854874,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854874
35,,8_330824_Bank of America Merrill Lynch,476854871,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854871
36,3_249389399_Integrata,,563926312,OB,OB,No-pair,dividend,Integrata booked the dividend transaction for SD 05-02-2019. Bank Of America  yet to book.,Bank Of America ,563926312
37,1_249389399_Integrata,,563926313,OB,OB,No-pair,dividend,Integrata booked the dividend transaction for SD 05-02-2019. Bank Of America  yet to book.,Bank Of America ,563926313
38,,19_249943750_Bank of America Merrill Lynch,1395886554,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 07-20-2020. Integrata yet to book.,Bank Of America ,1395886554
39,,8_2491038592_Bank of America Merrill Lynch,1520400359,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 09-28-2020. Integrata yet to book.,Bank Of America ,1520400359
40,,2_249615545_Bank of America Merrill Lynch,927749194,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 11-05-2019. Integrata yet to book.,Bank Of America ,927749194
41,,90_249374768_Bank of America Merrill Lynch,543691243,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 04-23-2019. Integrata yet to book.,Bank Of America ,543691243
42,,37_249987815_Bank of America Merrill Lynch,1453032570,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 08-20-2020. Integrata yet to book.,Bank Of America ,1453032570
43,,3_249886546_Bank of America Merrill Lynch,1319532307,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 06-03-2020. Integrata yet to book.,Bank Of America ,1319532307
44,,56_249987815_Bank of America Merrill Lynch,1453032623,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 08-20-2020. Integrata yet to book.,Bank Of America ,1453032623
45,,59_249943750_Bank of America Merrill Lynch,1395886573,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 07-20-2020. Integrata yet to book.,Bank Of America ,1395886573
46,,22_249750180_Bank of America Merrill Lynch,1138528715,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 02-20-2020. Integrata yet to book.,Bank Of America ,1138528715
47,,6_249750180_Bank of America Merrill Lynch,1138528608,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 02-20-2020. Integrata yet to book.,Bank Of America ,1138528608
48,,15_249750180_Bank of America Merrill Lynch,1138528620,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 02-20-2020. Integrata yet to book.,Bank Of America ,1138528620
49,,5_249390843_Bank of America Merrill Lynch,566066874,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 05-06-2019. Integrata yet to book.,Bank Of America ,566066874
50,,3_2491023309_Bank of America Merrill Lynch,1499781562,OB,OB,No-pair,swap cash flow,Bank Of America  booked the swap cash flow transaction for SD 09-15-2020. Integrata yet to book.,Bank Of America ,1499781562
51,,61_249407985_Bank of America Merrill Lynch,588902529,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 05-20-2019. Integrata yet to book.,Bank Of America ,588902529
52,,11_249380878_Bank of America Merrill Lynch,551779492,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 04-26-2019. Integrata yet to book.,Bank Of America ,551779492
