,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,first_non_null_breakid_in_breakid_columns,ViewData.BreakID,ViewData.Task ID,ViewData.Source Combination Code,BusinessDate
0,140_4551426010_Integrata,,1859876024,CMF,UCB,Close,Close,,1859876024,1859876024,4551426010,-590882299,2021-07-08
1,90_4551426010_Integrata,,1859876030,CMF,UCB,Close,Close,,1859876030,1859876030,4551426010,-590882299,2021-07-08
2,126_4551426010_Integrata,,1859876025,CMF,UCB,Close,Close,,1859876025,1859876025,4551426010,-590882299,2021-07-08
3,115_4551426010_Integrata,,1859876031,CMF,UCB,Close,Close,,1859876031,1859876031,4551426010,-590882299,2021-07-08
4,50_4551426010_Integrata,,1859876029,CMF,UCB,Close,Close,,1859876029,1859876029,4551426010,-590882299,2021-07-08
5,51_4551426010_Integrata,,1859876032,CMF,UCB,Close,Close,,1859876032,1859876032,4551426010,-590882299,2021-07-08
6,49_4551426010_Integrata,,1859876027,CMF,UCB,Close,Close,,1859876027,1859876027,4551426010,-590882299,2021-07-08
7,105_4551426010_Integrata,,1859876033,CMF,UCB,Close,Close,,1859876033,1859876033,4551426010,-590882299,2021-07-08
8,136_4551426010_Integrata,,1859876028,CMF,UCB,Close,Close,,1859876028,1859876028,4551426010,-590882299,2021-07-08
9,139_4551426010_Integrata,,1859876035,CMF,UCB,Close,Close,,1859876035,1859876035,4551426010,-590882299,2021-07-08
10,86_4551426010_Integrata,,1859876056,CMF,UCB,Close,Close,,1859876056,1859876056,4551426010,-590882299,2021-07-08
11,89_4551426010_Integrata,,1859876064,CMF,UCB,Close,Close,,1859876064,1859876064,4551426010,-590882299,2021-07-08
12,153_4551426010_Integrata,,1859876059,CMF,UCB,Close,Close,,1859876059,1859876059,4551426010,-590882299,2021-07-08
13,151_4551426010_Integrata,,1859876066,CMF,UCB,Close,Close,,1859876066,1859876066,4551426010,-590882299,2021-07-08
14,121_4551426010_Integrata,,1859876065,CMF,UCB,Close,Close,,1859876065,1859876065,4551426010,-590882299,2021-07-08
15,147_4551426010_Integrata,,1859876072,CMF,UCB,Close,Close,,1859876072,1859876072,4551426010,-590882299,2021-07-08
16,31_4551426010_Integrata,,1859876073,CMF,UCB,Close,Close,,1859876073,1859876073,4551426010,-590882299,2021-07-08
17,20_4551426010_Integrata,,1859876079,CMF,UCB,Close,Close,,1859876079,1859876079,4551426010,-590882299,2021-07-08
18,101_4551144082_Integrata,,1659706999,OB,UCB,Close,Close,,1659706999,1659706999,4551426010,-590882299,2021-07-08
19,102_4551144082_Integrata,,1659707002,OB,UCB,Close,Close,,1659707002,1659707002,4551426010,-590882299,2021-07-08
20,3_4551426010_Integrata,,1859876131,OB,UCB,Close,Close,,1859876131,1859876131,4551426010,-590882299,2021-07-08
21,67_4551426010_Integrata,,1859876132,OB,UCB,Close,Close,,1859876132,1859876132,4551426010,-590882299,2021-07-08
22,28_4551426010_Integrata,,1859876133,OB,UCB,Close,Close,,1859876133,1859876133,4551426010,-590882299,2021-07-08
23,135_4551426010_Integrata,,1859876136,OB,UCB,Close,Close,,1859876136,1859876136,4551426010,-590882299,2021-07-08
24,80_4551426010_Integrata,,1859876138,OB,UCB,Close,Close,,1859876138,1859876138,4551426010,-590882299,2021-07-08
25,111_4551426010_Integrata,,1859876139,OB,UCB,Close,Close,,1859876139,1859876139,4551426010,-590882299,2021-07-08
26,109_4551426010_Integrata,,1859876143,OB,UCB,Close,Close,,1859876143,1859876143,4551426010,-590882299,2021-07-08
27,4_4551426010_Integrata,,1859876150,OB,UCB,Close,Close,,1859876150,1859876150,4551426010,-590882299,2021-07-08
28,54_4551426010_Integrata,,1859876151,OB,UCB,Close,Close,,1859876151,1859876151,4551426010,-590882299,2021-07-08
29,141_4551426010_Integrata,,1859876154,OB,UCB,Close,Close,,1859876154,1859876154,4551426010,-590882299,2021-07-08
30,117_4551426010_Integrata,,1859876156,OB,UCB,Close,Close,,1859876156,1859876156,4551426010,-590882299,2021-07-08
31,4_455922111_Integrata,,1367056768,OB,UCB,Close,Close,,1367056768,1367056768,4551426010,-590882299,2021-07-08
