,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
11,6_4551203153_Integrata,,1737813326,OB,UCB,Close,Close,
332,9_4551450020_Integrata,,1860084492,OB,UCB,Close,Close,
337,9_4551450053_Integrata,,1860095131,OB,UCB,Close,Close,
344,2_4551430044_Integrata,,1859896251,OB,UCB,Close,Close,
351,2_4551430048_Integrata,,1859897094,OB,UCB,Close,Close,
376,10_4551203153_Integrata,,1737813332,OB,UCB,Close,Close,
381,3_4551203153_Integrata,,1737813331,OB,UCB,Close,Close,
610,1_4551203153_Integrata,,1737813324,OB,UCB,Close,Close,
612,7_4551203153_Integrata,,1737813339,OB,UCB,Close,Close,
654,9_4551203153_Integrata,,1737813341,OB,UCB,Close,Close,
15003,,16_4551430044_CACEIS,1859896253,OB,UCB,Close,Close,
15150,,16_4551430048_CACEIS,1859897096,OB,UCB,Close,Close,
