,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,first_non_null_breakid_in_breakid_columns
861,,159_4551294440_CACEIS,1859498378,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498378
862,,159_4551294436_CACEIS,1859496858,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496858
863,,159_4551294432_CACEIS,1859496650,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496650
864,,159_4551294430_CACEIS,1859495876,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495876
865,,159_4551294439_CACEIS,1859498151,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498151
866,,159_4551294438_CACEIS,1859497556,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497556
867,,159_4551294437_CACEIS,1859497182,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497182
868,,61_4551294440_CACEIS,1859498379,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498379
869,,61_4551294439_CACEIS,1859498100,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498100
870,,61_4551294438_CACEIS,1859497723,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497723
871,,61_4551294437_CACEIS,1859497332,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497332
872,,61_4551294436_CACEIS,1859496812,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496812
873,,61_4551294432_CACEIS,1859496676,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496676
874,,61_4551294430_CACEIS,1859496035,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496035
875,,189_4551294440_CACEIS,1859498380,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book,1859498380
876,,189_4551294439_CACEIS,1859498160,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book,1859498160
877,,189_4551294438_CACEIS,1859497835,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book,1859497835
878,,189_4551294437_CACEIS,1859497432,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book,1859497432
879,,189_4551294436_CACEIS,1859496924,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book,1859496924
880,,15_4551294440_CACEIS,1859498381,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498381
881,,189_4551294432_CACEIS,1859496510,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book,1859496510
882,,189_4551294430_CACEIS,1859496072,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book,1859496072
883,,15_4551294439_CACEIS,1859498053,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498053
884,,15_4551294438_CACEIS,1859497654,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497654
885,,15_4551294437_CACEIS,1859497301,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497301
886,,15_4551294436_CACEIS,1859496941,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496941
887,,15_4551294432_CACEIS,1859496581,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496581
888,,90_4551294440_CACEIS,1859498382,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498382
889,,15_4551294430_CACEIS,1859495898,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495898
890,,90_4551294439_CACEIS,1859497981,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497981
891,,90_4551294438_CACEIS,1859497683,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497683
892,,90_4551294437_CACEIS,1859497335,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497335
893,,90_4551294436_CACEIS,1859497027,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497027
894,,90_4551294432_CACEIS,1859496664,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496664
895,,90_4551294430_CACEIS,1859495924,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495924
896,,175_4551294440_CACEIS,1859498383,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498383
897,,175_4551294439_CACEIS,1859498179,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498179
898,,130_4551294440_CACEIS,1859498384,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498384
899,,175_4551294438_CACEIS,1859497540,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497540
900,,175_4551294437_CACEIS,1859497395,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497395
901,,175_4551294436_CACEIS,1859496857,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496857
902,,130_4551294439_CACEIS,1859498043,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498043
903,,175_4551294432_CACEIS,1859496469,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496469
904,,175_4551294430_CACEIS,1859495853,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495853
905,,130_4551294438_CACEIS,1859497716,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497716
906,,130_4551294437_CACEIS,1859497273,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497273
907,,130_4551294436_CACEIS,1859496951,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496951
908,,130_4551294432_CACEIS,1859496695,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496695
909,,130_4551294430_CACEIS,1859495864,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495864
910,,179_4551294440_CACEIS,1859498385,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498385
911,,179_4551294436_CACEIS,1859496870,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496870
912,,179_4551294432_CACEIS,1859496662,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496662
913,,179_4551294430_CACEIS,1859495865,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495865
914,,179_4551294437_CACEIS,1859497489,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497489
915,,179_4551294439_CACEIS,1859498157,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498157
916,,179_4551294438_CACEIS,1859497567,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497567
917,,57_4551294440_CACEIS,1859498387,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498387
918,,264_4551294440_CACEIS,1859498386,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498386
919,,57_4551294439_CACEIS,1859498124,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498124
920,,57_4551294438_CACEIS,1859497740,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497740
921,,264_4551294439_CACEIS,1859497969,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497969
922,,57_4551294436_CACEIS,1859497023,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497023
923,,264_4551294430_CACEIS,1859495798,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859495798
924,,57_4551294432_CACEIS,1859496683,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496683
925,,264_4551294437_CACEIS,1859497425,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497425
926,,57_4551294430_CACEIS,1859496009,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496009
927,,307_4551294440_CACEIS,1859498388,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859498388
