,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,first_non_null_breakid_in_breakid_columns,ViewData.BreakID,ViewData.Task ID,ViewData.Source Combination Code,BusinessDate
0,"11_4551294438_Integrata,11_4551294439_Integrata,11_4551294430_Integrata,11_4551294432_Integrata,11_4551294436_Integrata,12_4551294438_Integrata,11_4551294437_Integrata,12_4551294432_Integrata,12_4551294437_Integrata,12_4551294439_Integrata,12_4551294430_Integrata,12_4551294440_Integrata,12_4551294436_Integrata,11_4551294440_Integrata","191_4551294430_CACEIS,191_4551294438_CACEIS,191_4551294437_CACEIS,191_4551294436_CACEIS,191_4551294440_CACEIS,191_4551294439_CACEIS,191_4551294432_CACEIS","1859497533,1859497893,1859495780,1859496447,1859496811,1859497538,1859497176,1859496448,1859497179,1859497908,1859495776,1859498255,1859496826,1859498257,1859496087,1859497847,1859497494,1859497127,1859498577,1859498199,1859496768","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1859497533,1859497533,4551294440,-590882299,2021-05-17
1,"3_4551294438_Integrata,3_4551294432_Integrata,4_4551294432_Integrata,4_4551294439_Integrata,3_4551294430_Integrata,3_4551294436_Integrata,4_4551294430_Integrata,3_4551294439_Integrata,4_4551294436_Integrata,5_4551294436_Integrata,4_4551294437_Integrata,5_4551294432_Integrata,4_4551294438_Integrata,5_4551294439_Integrata,5_4551294438_Integrata,5_4551294430_Integrata,5_4551294437_Integrata,3_4551294440_Integrata,3_4551294437_Integrata,4_4551294440_Integrata,5_4551294440_Integrata","183_4551294436_CACEIS,183_4551294432_CACEIS,183_4551294430_CACEIS,183_4551294440_CACEIS,183_4551294439_CACEIS,183_4551294438_CACEIS,183_4551294437_CACEIS","1859497539,1859496452,1859496444,1859497895,1859495777,1859496827,1859495774,1859497894,1859496813,1859496818,1859497174,1859496456,1859497534,1859497898,1859497532,1859495779,1859497196,1859498261,1859497178,1859498263,1859498265,1859497132,1859496764,1859496093,1859498575,1859498207,1859497850,1859497495","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1859497539,1859497539,4551294440,-590882299,2021-05-17
2,2_4551294437_Integrata,,1859497180,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497180,1859497180,4551294440,-590882299,2021-05-17
3,2_4551294438_Integrata,,1859497536,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497536,1859497536,4551294440,-590882299,2021-05-17
4,2_4551294432_Integrata,,1859496459,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859496459,1859496459,4551294440,-590882299,2021-05-17
5,2_4551294439_Integrata,,1859497907,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-05-14.Caceis yet to book.,1859497907,1859497907,4551294440,-590882299,2021-05-17
6,,33_4551294438_CACEIS,1859497810,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497810,1859497810,4551294440,-590882299,2021-05-17
7,,33_4551294437_CACEIS,1859497465,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497465,1859497465,4551294440,-590882299,2021-05-17
8,,33_4551294436_CACEIS,1859497111,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859497111,1859497111,4551294440,-590882299,2021-05-17
9,,33_4551294432_CACEIS,1859496746,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book,1859496746,1859496746,4551294440,-590882299,2021-05-17
