,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
0,20_4551426002_Integrata,,1859874168,CMF,UCB,Close,Close,
1,31_4551426002_Integrata,,1859874177,CMF,UCB,Close,Close,
2,49_4551426002_Integrata,,1859874191,CMF,UCB,Close,Close,
3,105_4551426002_Integrata,,1859874201,CMF,UCB,Close,Close,
4,51_4551426002_Integrata,,1859874199,CMF,UCB,Close,Close,
5,50_4551426002_Integrata,,1859874206,CMF,UCB,Close,Close,
6,89_4551426002_Integrata,,1859874204,CMF,UCB,Close,Close,
7,86_4551426002_Integrata,,1859874211,CMF,UCB,Close,Close,
8,90_4551426002_Integrata,,1859874209,CMF,UCB,Close,Close,
9,140_4551426002_Integrata,,1859874218,CMF,UCB,Close,Close,
10,126_4551426002_Integrata,,1859874221,CMF,UCB,Close,Close,
11,115_4551426002_Integrata,,1859874229,CMF,UCB,Close,Close,
12,121_4551426002_Integrata,,1859874224,CMF,UCB,Close,Close,
13,147_4551426002_Integrata,,1859874231,CMF,UCB,Close,Close,
14,139_4551426002_Integrata,,1859874225,CMF,UCB,Close,Close,
15,136_4551426002_Integrata,,1859874232,CMF,UCB,Close,Close,
16,153_4551426002_Integrata,,1859874240,CMF,UCB,Close,Close,
17,151_4551426002_Integrata,,1859874249,CMF,UCB,Close,Close,
18,3_4551426002_Integrata,,1859874276,OB,UCB,Close,Close,
19,67_4551426002_Integrata,,1859874280,OB,UCB,Close,Close,
20,135_4551426002_Integrata,,1859874282,OB,UCB,Close,Close,
21,111_4551426002_Integrata,,1859874284,OB,UCB,Close,Close,
22,63_4551426002_Integrata,,1859874287,OB,UCB,Close,Close,
23,80_4551426002_Integrata,,1859874291,OB,UCB,Close,Close,
24,70_4551426002_Integrata,,1859874293,OB,UCB,Close,Close,
25,54_4551426002_Integrata,,1859874298,OB,UCB,Close,Close,
26,109_4551426002_Integrata,,1859874299,OB,UCB,Close,Close,
27,4_4551426002_Integrata,,1859874306,OB,UCB,Close,Close,
28,117_4551426002_Integrata,,1859874307,OB,UCB,Close,Close,
29,25_4551426002_Integrata,,1859874309,OB,UCB,Close,Close,
30,141_4551426002_Integrata,,1859874315,OB,UCB,Close,Close,
31,114_4551426002_Integrata,,1859874316,OB,UCB,Close,Close,
32,28_4551426002_Integrata,,1859874320,OB,UCB,Close,Close,
33,131_4551426002_Integrata,,1859874322,OB,UCB,Close,Close,
34,57_4551426002_Integrata,,1859874329,OB,UCB,Close,Close,
35,60_4551426002_Integrata,,1859874331,OB,UCB,Close,Close,
36,39_4551426002_Integrata,BB,1859874172,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
37,91_4551426002_Integrata,BB,1859874178,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
38,36_4551426002_Integrata,BB,1859874171,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
39,34_4551426002_Integrata,BB,1859874179,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
40,42_4551426002_Integrata,BB,1859874169,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
41,95_4551426002_Integrata,BB,1859874180,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
42,38_4551426002_Integrata,BB,1859874170,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
43,100_4551426002_Integrata,BB,1859874183,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
44,45_4551426002_Integrata,BB,1859874186,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
45,98_4551426002_Integrata,BB,1859874193,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
46,35_4551426002_Integrata,BB,1859874188,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
47,93_4551426002_Integrata,BB,1859874196,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
48,46_4551426002_Integrata,BB,1859874194,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
49,99_4551426002_Integrata,BB,1859874202,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
50,47_4551426002_Integrata,BB,1859874203,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
51,97_4551426002_Integrata,BB,1859874212,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
52,94_4551426002_Integrata,BB,1859874205,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
53,133_4551426002_Integrata,BB,1859874213,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
54,96_4551426002_Integrata,BB,1859874210,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
55,102_4551426002_Integrata,BB,1859874219,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
56,149_4551426002_Integrata,BB,1859874230,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
57,154_4551426002_Integrata,BB,1859874236,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
58,107_4551426002_Integrata,BB,1859874234,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
59,110_4551426002_Integrata,BB,1859874243,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
60,104_4551426002_Integrata,BB,1859874238,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
61,113_4551426002_Integrata,BB,1859874246,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
62,103_4551426002_Integrata,BB,1859874242,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
63,122_4551426002_Integrata,BB,1859874250,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
64,123_4551426002_Integrata,BB,1859874254,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
65,155_4551426002_Integrata,BB,1859874260,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
66,128_4551426002_Integrata,BB,1859874265,CNF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
67,148_4551426002_Integrata,BB,1859874264,CNF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
68,156_4551426002_Integrata,BB,1859874267,CNF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
69,158_4551426002_Integrata,BB,1859874266,CNF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
70,157_4551426002_Integrata,BB,1859874268,CNF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
71,127_4551426002_Integrata,BB,1859874269,CNF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
72,64_4551426002_Integrata,BB,1859874275,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
73,AA,7_4551426002_CACEIS,1859874278,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-07-08. Integrata yet to book
74,52_4551426002_Integrata,BB,1859874277,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
75,9_4551426002_Integrata,BB,1859874279,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
76,AA,1_4551426002_CACEIS,1859874281,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-07-08. Integrata yet to book
77,68_4551426002_Integrata,BB,1859874283,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
78,129_4551426002_Integrata,BB,1859874285,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
79,17_4551426002_Integrata,BB,1859874286,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
80,71_4551426002_Integrata,BB,1859874288,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
81,22_4551426002_Integrata,BB,1859874289,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
82,69_4551426002_Integrata,BB,1859874290,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
83,55_4551426002_Integrata,BB,1859874292,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
84,8_4551426002_Integrata,BB,1859874294,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
85,24_4551426002_Integrata,BB,1859874296,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
86,5_4551426002_Integrata,BB,1859874297,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
87,81_4551426002_Integrata,BB,1859874295,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
88,132_4551426002_Integrata,BB,1859874301,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
89,75_4551426002_Integrata,BB,1859874300,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
90,59_4551426002_Integrata,BB,1859874302,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-07-07.Caceis yet to book.
91,73_4551426002_Integrata,BB,1859874303,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
92,143_4551426002_Integrata,BB,1859874304,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
93,16_4551426002_Integrata,BB,1859874305,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
94,14_4551426002_Integrata,BB,1859874308,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
95,18_4551426002_Integrata,BB,1859874310,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
96,124_4551426002_Integrata,BB,1859874311,OB,OB,No-pair,wire transfer,Integrata booked the AUM plug for SD 2021-07-07.Caceis yet to book.
97,32_4551426002_Integrata,BB,1859874312,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
98,11_4551426002_Integrata,BB,1859874313,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
99,125_4551426002_Integrata,BB,1859874314,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
100,65_4551426002_Integrata,BB,1859874317,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
101,77_4551426002_Integrata,BB,1859874318,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
102,159_4551426002_Integrata,BB,1859874319,OB,OB,No-pair,redemption,Integrata booked the redemption for SD 2021-07-08.Caceis yet to book.
103,78_4551426002_Integrata,BB,1859874321,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
104,79_4551426002_Integrata,BB,1859874323,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
105,15_4551426002_Integrata,BB,1859874324,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-28.Caceis yet to book.
106,160_4551426002_Integrata,BB,1859874325,OB,OB,No-pair,proceeds sell,Integrata booked the Net Sub/Red for SD 2021-07-08.Caceis yet to book.
107,10_4551426002_Integrata,BB,1859874326,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
108,72_4551426002_Integrata,BB,1859874328,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
109,23_4551426002_Integrata,BB,1859874327,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
110,19_4551426002_Integrata,BB,1859874330,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
111,76_4551426002_Integrata,BB,1859874332,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
112,142_4551426002_Integrata,BB,1859874333,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
113,82_4551426002_Integrata,BB,1859874334,OB,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-07-09.Caceis yet to book.
