Pairing,var,Catogery,replace
internal transfer,NANA,NANA,internal transfer
Acquisition,NANA,Acquisition,Acquisition
allocleg,NANA,allocleg,allocleg
allocation,NANA,allocleg,allocleg
Breaks cleared,NANA,Breaks cleared,Breaks cleared
cancelled,NANA,Cancel Correct,cancelled
dvd, cancel,Cancel Correct,dividend
closed,NANA,closed,closed
collateral transfer,NANA,Collateral,collateral transfer
future collateral,NANA,Collateral,future collateral
comm adj,NANA,Commission,commission
fees, commission,Commission,fees
option commission adjustment,NANA,Commission,commission
CPN,NANA,CPN,CPN
CRI,NANA,CRI,CRI
CRM,NANA,CRM,CRM
currency, local,Currency,currency
cusip,NANA,cusip,cusip
custodian,NANA,Custodian,Mapped Custodian Account
Mapped Custodian Account,NANA,Custodian,Mapped Custodian Account
Mapped Custodian Account,sd,Custodian,Mapped Custodian Account
capital gain,NANA,Deposit,capital gain
deposit,NANA,Deposit,deposit
dividend journal,NANA,Dividend,dividend
dvd,NANA,Dividend,dividend
dvd journal,NANA,Dividend,dividend
expenses,dvd,Dividend,expenses
tax withheld,NANA,Dividend,tax withheld
wht,NANA,Dividend,wht
borrow charge,NANA,Expense,expenses 
ADR,NANA,Expense,expenses 
operating,NANA,Expense,expenses 
Bilfee,NANA,Fees,Bilfee
clearing fee,NANA,Fees,clearing fee
security lending fees,NANA,Fees,security lending fees
stock loan,NANA,Fees,stock loan
ticket fees,NANA,Fees,ticket fees
difference forward fx spot fx sst sd,NANA,FX,difference forward fx spot fx sst sd
forward,NANA,FX,forward
forward fx,NANA,FX,forward fx
spot fx,NANA,FX,spot fx
holding adjustments,NANA,holding adjustments,holding adjustments
credit interest,NANA,Interest,interest
debit interest,NANA,Interest,interest
interest,NANA,Interest,interest
collateral transfer interest, collateral transfer,Interest,interest
month end interest, month end,Interest,interest
interest,otc,Interest,interest
otc collateral interest,otc collateral,Interest,interest
non sec usd,NANA,non sec usd,non sec usd
global payment,NANA,Payment,global payment
redemption,NANA,redemption,redemption
revenue,NANA,Revenue,revenue
security income,NANA,Revenue,security income
security,NANA,security,security
stock,NANA,stock,stock
Eq swap unwind,NANA,stock,equity swap settlement
swap performance,NANA,stock,equity swap settlement
swap reset,NANA,stock,equity swap settlement
swap fianancing,NANA,Swap Settlement,equity swap settlement
equity swap wht,NANA,Swap Settlement,equity swap wht
swap settlement,NANA,Swap Settlement,equity swap settlement 
buy trade,NANA,Trade,buy trade
buy trade treasury amt,NANA,Trade,buy trade
buy trade, no position break,Trade,buy trade
buy trade,no position break,Trade,buy trade
buy trade,price,Trade,buy trade
Cover short,NANA,Trade,Cover short
Cover short ,NANA,Trade,Cover short 
Cover short, no position break,Trade,Cover short
