,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
0,49_4551426004_Integrata,,1859874734,CMF,UCB,Close,Close,
1,105_4551426004_Integrata,,1859874742,CMF,UCB,Close,Close,
2,50_4551426004_Integrata,,1859874736,CMF,UCB,Close,Close,
3,51_4551426004_Integrata,,1859874744,CMF,UCB,Close,Close,
4,20_4551426004_Integrata,,1859874732,CMF,UCB,Close,Close,
5,31_4551426004_Integrata,,1859874746,CMF,UCB,Close,Close,
6,90_4551426004_Integrata,,1859874758,CMF,UCB,Close,Close,
7,140_4551426004_Integrata,,1859874765,CMF,UCB,Close,Close,
8,89_4551426004_Integrata,,1859874754,CMF,UCB,Close,Close,
9,86_4551426004_Integrata,,1859874769,CMF,UCB,Close,Close,
10,126_4551426004_Integrata,,1859874782,CMF,UCB,Close,Close,
11,115_4551426004_Integrata,,1859874790,CMF,UCB,Close,Close,
12,147_4551426004_Integrata,,1859874792,CMF,UCB,Close,Close,
13,121_4551426004_Integrata,,1859874799,CMF,UCB,Close,Close,
14,136_4551426004_Integrata,,1859874805,CMF,UCB,Close,Close,
15,139_4551426004_Integrata,,1859874814,CMF,UCB,Close,Close,
16,153_4551426004_Integrata,,1859874816,CMF,UCB,Close,Close,
17,151_4551426004_Integrata,,1859874822,CMF,UCB,Close,Close,
18,3_4551426004_Integrata,,1859874839,OB,UCB,Close,Close,
19,67_4551426004_Integrata,,1859874838,OB,UCB,Close,Close,
20,63_4551426004_Integrata,,1859874844,OB,UCB,Close,Close,
21,135_4551426004_Integrata,,1859874845,OB,UCB,Close,Close,
22,70_4551426004_Integrata,,1859874849,OB,UCB,Close,Close,
23,111_4551426004_Integrata,,1859874851,OB,UCB,Close,Close,
24,54_4551426004_Integrata,,1859874854,OB,UCB,Close,Close,
25,80_4551426004_Integrata,,1859874859,OB,UCB,Close,Close,
26,117_4551426004_Integrata,,1859874864,OB,UCB,Close,Close,
27,109_4551426004_Integrata,,1859874867,OB,UCB,Close,Close,
28,4_4551426004_Integrata,,1859874872,OB,UCB,Close,Close,
29,114_4551426004_Integrata,,1859874873,OB,UCB,Close,Close,
30,25_4551426004_Integrata,,1859874877,OB,UCB,Close,Close,
31,131_4551426004_Integrata,,1859874881,OB,UCB,Close,Close,
32,141_4551426004_Integrata,,1859874884,OB,UCB,Close,Close,
33,28_4551426004_Integrata,,1859874887,OB,UCB,Close,Close,
34,57_4551426004_Integrata,,1859874890,OB,UCB,Close,Close,
35,60_4551426004_Integrata,,1859874894,OB,UCB,Close,Close,
36,36_4551426004_Integrata,BB,1859874731,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
