,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns,ViewData.BreakID,ViewData.Task ID,ViewData.Source Combination Code,BusinessDate
42,114_2491430290_Integrata,,1860076427,OB,UCB,Close,Close,,Goldman Sachs,1860076427,1860076427,2491430302,-1932371527,2021-07-21
43,38_2491430080_Integrata,,1859922175,OB,UCB,Close,Close,,Goldman Sachs,1859922175,1859922175,2491430302,-1932371527,2021-07-21
44,109_2491430290_Integrata,,1860076448,OB,UCB,Close,Close,,Goldman Sachs,1860076448,1860076448,2491430302,-1932371527,2021-07-21
45,67_2491430290_Integrata,,1860076456,OB,UCB,Close,Close,,Goldman Sachs,1860076456,1860076456,2491430302,-1932371527,2021-07-21
46,111_2491430290_Integrata,,1860076438,OB,UCB,Close,Close,,Goldman Sachs,1860076438,1860076438,2491430302,-1932371527,2021-07-21
47,113_2491430290_Integrata,,1860076490,OB,UCB,Close,Close,,Goldman Sachs,1860076490,1860076490,2491430302,-1932371527,2021-07-21
48,68_2491430290_Integrata,,1860076465,OB,UCB,Close,Close,,Goldman Sachs,1860076465,1860076465,2491430302,-1932371527,2021-07-21
49,141_2491430290_Integrata,,1860076436,OB,UCB,Close,Close,,Goldman Sachs,1860076436,1860076436,2491430302,-1932371527,2021-07-21
50,71_2491380301_Integrata,,1859622235,OB,UCB,Close,Close,,Goldman Sachs,1859622235,1859622235,2491430302,-1932371527,2021-07-21
51,71_2491380309_Integrata,,1859622600,OB,UCB,Close,Close,,Goldman Sachs,1859622600,1859622600,2491430302,-1932371527,2021-07-21
52,71_2491400026_Integrata,,1859744320,OB,UCB,Close,Close,,Goldman Sachs,1859744320,1859744320,2491430302,-1932371527,2021-07-21
53,39_2491430080_Integrata,,1859922179,OB,UCB,Close,Close,,Goldman Sachs,1859922179,1859922179,2491430302,-1932371527,2021-07-21
54,70_2491380301_Integrata,,1859622223,OB,UCB,Close,Close,,Goldman Sachs,1859622223,1859622223,2491430302,-1932371527,2021-07-21
55,159_2491400070_Integrata,,1859771616,OB,UCB,Close,Close,,Goldman Sachs,1859771616,1859771616,2491430302,-1932371527,2021-07-21
56,,217_2491426012_Goldman Sachs,1859876911,OB,UCB,Close,Close,,Goldman Sachs,1859876911,1859876911,2491430302,-1932371527,2021-07-21
57,,215_2491426012_Goldman Sachs,1859876602,OB,UCB,Close,Close,,Goldman Sachs,1859876602,1859876602,2491430302,-1932371527,2021-07-21
58,,213_2491426012_Goldman Sachs,1859876914,OB,UCB,Close,Close,,Goldman Sachs,1859876914,1859876914,2491430302,-1932371527,2021-07-21
59,,211_2491426012_Goldman Sachs,1859876599,OB,UCB,Close,Close,,Goldman Sachs,1859876599,1859876599,2491430302,-1932371527,2021-07-21
60,,281_2491400026_Goldman Sachs,1859744253,OB,UCB,Close,Close,,Goldman Sachs,1859744253,1859744253,2491430302,-1932371527,2021-07-21
61,,149_2491430283_Goldman Sachs,1860075437,OB,UCB,Close,Close,,Goldman Sachs,1860075437,1860075437,2491430302,-1932371527,2021-07-21
62,,167_2491430283_Goldman Sachs,1860075445,OB,UCB,Close,Close,,Goldman Sachs,1860075445,1860075445,2491430302,-1932371527,2021-07-21
63,,216_2491430283_Goldman Sachs,1860075414,OB,UCB,Close,Close,,Goldman Sachs,1860075414,1860075414,2491430302,-1932371527,2021-07-21
64,,225_2491430283_Goldman Sachs,1860075423,OB,UCB,Close,Close,,Goldman Sachs,1860075423,1860075423,2491430302,-1932371527,2021-07-21
65,,241_2491426012_Goldman Sachs,1859876988,OB,UCB,Close,Close,,Goldman Sachs,1859876988,1859876988,2491430302,-1932371527,2021-07-21
66,,227_2491426012_Goldman Sachs,1859876997,OB,UCB,Close,Close,,Goldman Sachs,1859876997,1859876997,2491430302,-1932371527,2021-07-21
67,,629_2491400070_Goldman Sachs,1859770234,OB,UCB,Close,Close,,Goldman Sachs,1859770234,1859770234,2491430302,-1932371527,2021-07-21
68,,629_2491400077_Goldman Sachs,1859771868,OB,UCB,Close,Close,,Goldman Sachs,1859771868,1859771868,2491430302,-1932371527,2021-07-21
69,,647_2491400077_Goldman Sachs,1859771859,OB,UCB,Close,Close,,Goldman Sachs,1859771859,1859771859,2491430302,-1932371527,2021-07-21
70,,647_2491400070_Goldman Sachs,1859770242,OB,UCB,Close,Close,,Goldman Sachs,1859770242,1859770242,2491430302,-1932371527,2021-07-21
71,,673_2491400070_Goldman Sachs,1859770302,OB,UCB,Close,Close,,Goldman Sachs,1859770302,1859770302,2491430302,-1932371527,2021-07-21
72,,673_2491400077_Goldman Sachs,1859772251,OB,UCB,Close,Close,,Goldman Sachs,1859772251,1859772251,2491430302,-1932371527,2021-07-21
73,,199_2491380276_Goldman Sachs,1859592858,OB,UCB,Close,Close,,Goldman Sachs,1859592858,1859592858,2491430302,-1932371527,2021-07-21
