,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
0,126_4551426008_Integrata,,1859875461,CMF,UCB,Close,Close,
1,115_4551426008_Integrata,,1859875467,CMF,UCB,Close,Close,
2,20_4551426008_Integrata,,1859875463,CMF,UCB,Close,Close,
3,31_4551426008_Integrata,,1859875468,CMF,UCB,Close,Close,
8,136_4551426008_Integrata,,1859875472,CMF,UCB,Close,Close,
9,139_4551426008_Integrata,,1859875479,CMF,UCB,Close,Close,
12,121_4551426008_Integrata,,1859875480,CMF,UCB,Close,Close,
13,147_4551426008_Integrata,,1859875489,CMF,UCB,Close,Close,
18,105_4551426008_Integrata,,1859875486,CMF,UCB,Close,Close,
19,49_4551426008_Integrata,,1859875494,CMF,UCB,Close,Close,
20,140_4551426008_Integrata,,1859875488,CMF,UCB,Close,Close,
21,90_4551426008_Integrata,,1859875497,CMF,UCB,Close,Close,
28,151_4551426008_Integrata,,1859875510,CMF,UCB,Close,Close,
29,153_4551426008_Integrata,,1859875514,CMF,UCB,Close,Close,
40,50_4551426008_Integrata,,1859875533,CMF,UCB,Close,Close,
41,51_4551426008_Integrata,,1859875539,CMF,UCB,Close,Close,
46,89_4551426008_Integrata,,1859875546,CMF,UCB,Close,Close,
47,86_4551426008_Integrata,,1859875552,CMF,UCB,Close,Close,
136,101_4551144082_Integrata,,1659706999,OB,UCB,Close,Close,
140,102_4551144082_Integrata,,1659707002,OB,UCB,Close,Close,
723,3_4551426008_Integrata,,1859875569,OB,UCB,Close,Close,
725,135_4551426008_Integrata,,1859875572,OB,UCB,Close,Close,
727,28_4551426008_Integrata,,1859875573,OB,UCB,Close,Close,
750,4_4551426008_Integrata,,1859875583,OB,UCB,Close,Close,
754,141_4551426008_Integrata,,1859875587,OB,UCB,Close,Close,
755,54_4551426008_Integrata,,1859875588,OB,UCB,Close,Close,
758,117_4551426008_Integrata,,1859875591,OB,UCB,Close,Close,
768,4_455922111_Integrata,,1367056768,OB,UCB,Close,Close,
769,5_455922111_Integrata,,1367056769,OB,UCB,Close,Close,
770,6_455922111_Integrata,,1367056765,OB,UCB,Close,Close,
771,2_455922111_Integrata,,1367056764,OB,UCB,Close,Close,
773,114_4551426008_Integrata,,1859875595,OB,UCB,Close,Close,
1165,,2_4551318931_CACEIS,1890812360,OB,UCB,Close,Close,
1172,,8_4551267661_CACEIS,1824870500,OB,UCB,Close,Close,
1243,131_4551426008_Integrata,,1859875598,OB,UCB,Close,Close,
1980,63_4551426008_Integrata,,1859875602,OB,UCB,Close,Close,
2791,70_4551426008_Integrata,,1859875607,OB,UCB,Close,Close,
3281,57_4551426008_Integrata,,1859875610,OB,UCB,Close,Close,
4203,60_4551426008_Integrata,,1859875613,OB,UCB,Close,Close,
4974,67_4551426008_Integrata,,1859875616,OB,UCB,Close,Close,
5698,111_4551426008_Integrata,,1859875619,OB,UCB,Close,Close,
6543,80_4551426008_Integrata,,1859875622,OB,UCB,Close,Close,
7057,109_4551426008_Integrata,,1859875624,OB,UCB,Close,Close,
7081,25_4551426008_Integrata,,1859875625,OB,UCB,Close,Close,
15771,,26_455658450_CACEIS,1002374597,OB,UCB,Close,Close,
15953,,24_455658450_CACEIS,1002374606,OB,UCB,Close,Close,
