,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
1533,,6_4551157661_CACEIS,1677770259,OB,UCB,Close,Close,
1583,,17_4551285256_CACEIS,1847792954,OB,UCB,Close,Close,
1590,,13_4551402499_CACEIS,2006719926,OB,UCB,Close,Close,
1657,,19_4551285256_CACEIS,1847792958,OB,UCB,Close,Close,
1665,,9_4551402499_CACEIS,2006719922,OB,UCB,Close,Close,
4431,,14_455914788_CACEIS,1356802610,OB,UCB,Close,Close,
10996,,17_4551279353_CACEIS,1839901571,OB,UCB,Close,Close,
11004,,21_4551402499_CACEIS,2006719920,OB,UCB,Close,Close,
13898,,15_455914788_CACEIS,1356802615,OB,UCB,Close,Close,
14456,,24_4551157661_CACEIS,1677770272,OB,UCB,Close,Close,
14463,,26_4551285256_CACEIS,1847792963,OB,UCB,Close,Close,
14468,,22_4551402499_CACEIS,2006719923,OB,UCB,Close,Close,
14636,,24_4551402499_CACEIS,2006719929,OB,UCB,Close,Close,
14643,,25_4551285256_CACEIS,1847792960,OB,UCB,Close,Close,
14654,,20_4551402499_CACEIS,2006719928,OB,UCB,Close,Close,
14664,,16_4551279353_CACEIS,1839901569,OB,UCB,Close,Close,
