Pairing,var,Catogery,replace
transfer of,NANA,NANA,transfer
external management fee,,,emf
external management fees,,,emf
external management,,,emf
froc,,,froc
facturation fees,,,ff
facturation fees,,,ff
external distribution fee,,,edf
external distribution fees,,,edf
