,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
75,,89_2491189504_Barclays,1720102927,OB,UCB,Close,Close,,Barclays
81,,83_2491455785_Barclays,2073980272,OB,UCB,Close,Close,,Barclays
256,,79_2491455785_Barclays,2073980252,OB,UCB,Close,Close,,Barclays
364,,99_2491185549_Barclays,1714932902,OB,UCB,Close,Close,,Barclays
377,,75_2491455785_Barclays,2073980244,OB,UCB,Close,Close,,Barclays
439,,112_2491125075_Barclays,1634756956,OB,UCB,Close,Close,,Barclays
470,,72_2491455785_Barclays,2073980280,OB,UCB,Close,Close,,Barclays
603,,95_2491194378_Barclays,1727006661,OB,UCB,Close,Close,,Barclays
744,,128_2491173607_Barclays,1698878560,OB,UCB,Close,Close,,Barclays
842,,100_2491185549_Barclays,1714932921,OB,UCB,Close,Close,,Barclays
850,,118_2491173607_Barclays,1698878526,OB,UCB,Close,Close,,Barclays
1009,,122_2491173607_Barclays,1698878538,OB,UCB,Close,Close,,Barclays
1055,,98_2491185549_Barclays,1714932895,OB,UCB,Close,Close,,Barclays
1099,,76_2491455785_Barclays,2073980248,OB,UCB,Close,Close,,Barclays
1141,,96_2491194378_Barclays,1727006662,OB,UCB,Close,Close,,Barclays
1238,,88_2491189504_Barclays,1720102934,OB,UCB,Close,Close,,Barclays
1315,,97_2491185549_Barclays,1714932915,OB,UCB,Close,Close,,Barclays
1320,,113_2491125075_Barclays,1634756969,OB,UCB,Close,Close,,Barclays
1334,,111_2491173607_Barclays,1698878550,OB,UCB,Close,Close,,Barclays
1370,,80_2491455785_Barclays,2073980264,OB,UCB,Close,Close,,Barclays
