,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns,ViewData.BreakID,ViewData.Task ID,ViewData.Source Combination Code,BusinessDate
0,,214_2491426012_Goldman Sachs,1859876905,OB,UCB,Close,Close,,Goldman Sachs,1859876905,1859876905,2491430060,-1932371527,2021-07-13
1,,218_2491426012_Goldman Sachs,1859876920,OB,UCB,Close,Close,,Goldman Sachs,1859876920,1859876920,2491430060,-1932371527,2021-07-13
2,,212_2491426012_Goldman Sachs,1859876601,OB,UCB,Close,Close,,Goldman Sachs,1859876601,1859876601,2491430060,-1932371527,2021-07-13
3,,216_2491426012_Goldman Sachs,1859876600,OB,UCB,Close,Close,,Goldman Sachs,1859876600,1859876600,2491430060,-1932371527,2021-07-13
4,,210_2491426012_Goldman Sachs,1859876913,OB,UCB,Close,Close,,Goldman Sachs,1859876913,1859876913,2491430060,-1932371527,2021-07-13
5,,208_2491426012_Goldman Sachs,1859876603,OB,UCB,Close,Close,,Goldman Sachs,1859876603,1859876603,2491430060,-1932371527,2021-07-13
6,,209_2491426012_Goldman Sachs,1859876904,OB,UCB,Close,Close,,Goldman Sachs,1859876904,1859876904,2491430060,-1932371527,2021-07-13
7,,207_2491426012_Goldman Sachs,1859876604,OB,UCB,Close,Close,,Goldman Sachs,1859876604,1859876604,2491430060,-1932371527,2021-07-13
8,,213_2491426012_Goldman Sachs,1859876914,OB,UCB,Close,Close,,Goldman Sachs,1859876914,1859876914,2491430060,-1932371527,2021-07-13
9,,211_2491426012_Goldman Sachs,1859876599,OB,UCB,Close,Close,,Goldman Sachs,1859876599,1859876599,2491430060,-1932371527,2021-07-13
10,,217_2491426012_Goldman Sachs,1859876911,OB,UCB,Close,Close,,Goldman Sachs,1859876911,1859876911,2491430060,-1932371527,2021-07-13
11,,215_2491426012_Goldman Sachs,1859876602,OB,UCB,Close,Close,,Goldman Sachs,1859876602,1859876602,2491430060,-1932371527,2021-07-13
12,66_2491380309_Integrata,,1859622585,OB,UCB,Close,Close,,Goldman Sachs,1859622585,1859622585,2491430060,-1932371527,2021-07-13
13,66_2491380301_Integrata,,1859622220,OB,UCB,Close,Close,,Goldman Sachs,1859622220,1859622220,2491430060,-1932371527,2021-07-13
14,66_2491400026_Integrata,,1859744321,OB,UCB,Close,Close,,Goldman Sachs,1859744321,1859744321,2491430060,-1932371527,2021-07-13
15,71_2491400026_Integrata,,1859744320,OB,UCB,Close,Close,,Goldman Sachs,1859744320,1859744320,2491430060,-1932371527,2021-07-13
16,71_2491380301_Integrata,,1859622235,OB,UCB,Close,Close,,Goldman Sachs,1859622235,1859622235,2491430060,-1932371527,2021-07-13
17,71_2491380309_Integrata,,1859622600,OB,UCB,Close,Close,,Goldman Sachs,1859622600,1859622600,2491430060,-1932371527,2021-07-13
18,67_2491380301_Integrata,,1859622244,OB,UCB,Close,Close,,Goldman Sachs,1859622244,1859622244,2491430060,-1932371527,2021-07-13
19,67_2491400026_Integrata,,1859744329,OB,UCB,Close,Close,,Goldman Sachs,1859744329,1859744329,2491430060,-1932371527,2021-07-13
