,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
40,,98_2491185549_Barclays,1714932895,OB,UCB,Close,Close,,Barclays
95,,95_2491194378_Barclays,1727006661,OB,UCB,Close,Close,,Barclays
140,,92_2491453623_Barclays,2071502794,OB,UCB,Close,Close,,Barclays
300,,93_2491453623_Barclays,2071502804,OB,UCB,Close,Close,,Barclays
369,,96_2491194378_Barclays,1727006662,OB,UCB,Close,Close,,Barclays
552,,118_2491173607_Barclays,1698878526,OB,UCB,Close,Close,,Barclays
621,,90_2491453623_Barclays,2071502771,OB,UCB,Close,Close,,Barclays
625,,94_2491453623_Barclays,2071502808,OB,UCB,Close,Close,,Barclays
738,,113_2491125075_Barclays,1634756969,OB,UCB,Close,Close,,Barclays
1010,,97_2491185549_Barclays,1714932915,OB,UCB,Close,Close,,Barclays
1108,,89_2491189504_Barclays,1720102927,OB,UCB,Close,Close,,Barclays
1121,,122_2491173607_Barclays,1698878538,OB,UCB,Close,Close,,Barclays
1151,,111_2491173607_Barclays,1698878550,OB,UCB,Close,Close,,Barclays
1186,,112_2491125075_Barclays,1634756956,OB,UCB,Close,Close,,Barclays
1243,,88_2491189504_Barclays,1720102934,OB,UCB,Close,Close,,Barclays
1313,,100_2491185549_Barclays,1714932921,OB,UCB,Close,Close,,Barclays
1393,,91_2491453623_Barclays,2071502782,OB,UCB,Close,Close,,Barclays
1394,,88_2491453623_Barclays,2071502788,OB,UCB,Close,Close,,Barclays
1396,,89_2491453623_Barclays,2071502799,OB,UCB,Close,Close,,Barclays
1398,,95_2491453623_Barclays,2071502810,OB,UCB,Close,Close,,Barclays
1435,,99_2491185549_Barclays,1714932902,OB,UCB,Close,Close,,Barclays
1501,,128_2491173607_Barclays,1698878560,OB,UCB,Close,Close,,Barclays
