,Side1_UniqueIds,Side0_UniqueIds,Predicted_Status,Predicted_action,PredictedCategory,PredictedComment,TaskID,SourceCombinationCode,BusinessDate,BreakID,Final_predicted_break,ML_flag,SetupID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,ReconSetupName,ClientShortCode,CreatedDate,ActionType,ActionTypeCode
520,97_2491430061_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-14-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859904770,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
521,80_2491430049_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-15-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859897209,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
522,99_2491430049_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-13-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859897225,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
523,95_2491430049_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-14-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859897217,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
524,164_2491400067_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 06-21-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769690,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
525,161_2491400081_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 06-21-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772878,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
526,43_2491430081_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-15-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859922458,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
527,160_2491400067_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 06-21-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769712,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
528,99_2491430061_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-13-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859904916,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
529,70_2491430081_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-16-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859922449,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
530,127_2491426014_UBS,,OB,No-pair,wire,UBS  booked the wire transaction for SD 07-09-2021. Integrata yet to book.,2491430081,393227302,2021-07-14 00:00:00+00:00,1859877360,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
531,68_2491430081_UBS,8_2491430081_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859922376,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
532,42_2491430081_UBS,14_2491430081_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859922384,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
533,36_2491430081_UBS,38_2491430081_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859922392,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
534,193_2491400081_UBS,103_2491400081_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772777,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
535,194_2491400081_UBS,102_2491400081_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772778,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
536,122_2491426014_UBS,30_2491426014_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859877277,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
537,44_2491426014_UBS,19_2491426014_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859877262,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
538,121_2491426014_UBS,29_2491426014_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859877271,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
539,194_2491400067_UBS,102_2491400067_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769592,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
540,84_2491430061_UBS,56_2491430061_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859904851,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
541,107_2491426014_UBS,68_2491426014_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859877288,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
542,82_2491430049_UBS,58_2491430049_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859897171,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
543,84_2491430049_UBS,57_2491430049_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859897166,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
544,82_2491430061_UBS,57_2491430061_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859904852,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
545,86_2491430061_UBS,58_2491430061_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859904845,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
546,86_2491430049_UBS,56_2491430049_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859897159,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
547,108_2491426014_UBS,67_2491426014_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859877294,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
548,193_2491400067_UBS,103_2491400067_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769590,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
549,46_2491426014_UBS,18_2491426014_Integrata,SMB,No-pair,proceeds trade settlement,Difference in trade proceeds between Integrata and UBS .,2491430081,393227302,2021-07-14 00:00:00+00:00,1859877256,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,COMMENT,3
