,Fund,Custodian Account,Pos_security,Currency,Pos_Desc,pos_qnt_diff,Local Price Diff,Local MV Diff,Ticker1,col_to_merge
30,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,GBP,LONG GILT FUTURE  Sep21,0,0.0,0.0,g u1,NEFU_FIFTY_SEVEN_00799802GBPg u1
31,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,EUR,DAX INDEX FUTURE  Sep21,0,0.0,0.0,gxu1,NEFU_FIFTY_SEVEN_00799762EURgxu1
32,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,DAX INDEX FUTURE  Sep21,0,0.0,0.0,gxu1,NEFU_FIFTY_SEVEN_00799769EURgxu1
33,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,IBEX 35 INDX FUTR AUG21,0,0.0,0.0,ibq1,NEFU_FIFTY_SEVEN_00799769EURibq1
34,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,IBEX 35 INDX FUTR AUG21,0,0.0,0.0,ibq1,NEFU_FIFTY_SEVEN_00799802EURibq1
35,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,EURO-BTP FUTURE SEP21,0,0.0,0.0,iku1,NEFU_FIFTY_SEVEN_00799769EURiku1
36,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,EURO-BTP FUTURE SEP21,0,0.0,0.0,iku1,NEFU_FIFTY_SEVEN_00799802EURiku1
37,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799814,Futures,KRW,KOREA 10YR BND FU SEP21,0,0.0,0.0,kaau1,NEFU_FIFTY_SEVEN_00799814KRWkaau1
38,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799804,Futures,KRW,KOREA 3YR BND FUT SEP21,0,0.0,0.0,keu1,NEFU_FIFTY_SEVEN_00799804KRWkeu1
39,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,KRW,KOSPI2 INX FUT    Sep21,0,0.0,0.0,kmu1,NEFU_FIFTY_SEVEN_00799762KRWkmu1
40,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,MYR,CRUDE PALM OIL FU OCT21,0,0.0,0.0,kov1,NEFU_FIFTY_SEVEN_00799760MYRkov1
41,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,EUR,EURO-OAT FUTURE SEP21,0,0.0,0.0,oatu1,NEFU_FIFTY_SEVEN_00799760EURoatu1
42,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,EURO-OAT FUTURE SEP21,0,0.0,0.0,oatu1,NEFU_FIFTY_SEVEN_00799802EURoatu1
43,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,EUR,EURO-BOBL FUTURE  Sep21,0,0.0,0.0,oeu1,NEFU_FIFTY_SEVEN_00799760EURoeu1
44,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,EURO-BOBL FUTURE  Sep21,0,0.0,0.0,oeu1,NEFU_FIFTY_SEVEN_00799802EURoeu1
45,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799801,Futures,CAD,S&P/TSX 60 IX FUT SEP21,0,0.0,0.0,ptu1,NEFU_FIFTY_SEVEN_00799801CADptu1
46,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,CAD,S&P/TSX 60 IX FUT SEP21,0,0.0,0.0,ptu1,NEFU_FIFTY_SEVEN_00799802CADptu1
47,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,SEK,OMXS30 IND FUTURE AUG21,0,0.0,0.0,qcq1,NEFU_FIFTY_SEVEN_00799762SEKqcq1
48,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,EUR,EURO-BUND FUTURE  Sep21,0,0.0,0.0,rxu1,NEFU_FIFTY_SEVEN_00799760EURrxu1
49,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,EURO-BUND FUTURE  Sep21,0,0.0,0.0,rxu1,NEFU_FIFTY_SEVEN_00799769EURrxu1
50,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,SEK,OMXS30 IND FUTURE AUG21,0,0.0,0.0,qcq1,NEFU_FIFTY_SEVEN_00799769SEKqcq1
51,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,EUR,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0,stu1,NEFU_FIFTY_SEVEN_00799762EURstu1
52,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,SEK,OMXS30 IND FUTURE AUG21,0,0.0,0.0,qcq1,NEFU_FIFTY_SEVEN_00799802SEKqcq1
53,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0,stu1,NEFU_FIFTY_SEVEN_00799769EURstu1
54,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0,stu1,NEFU_FIFTY_SEVEN_00799802EURstu1
55,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799811,Futures,EUR,STOXX EUROPE 600  Sep21,0,0.0,0.0,sxou1,NEFU_FIFTY_SEVEN_00799811EURsxou1
56,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,GBP,FTSE 100 IDX FUT  Sep21,0,0.0,0.0,z u1,NEFU_FIFTY_SEVEN_00799762GBPz u1
57,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,GBP,FTSE 100 IDX FUT  Sep21,0,0.0,0.0,z u1,NEFU_FIFTY_SEVEN_00799769GBPz u1
58,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,EURO STOXX 50     Sep21,0,0.0,0.0,vgu1,NEFU_FIFTY_SEVEN_00799769EURvgu1
59,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,CAD,CAN 5YR BOND FUT  Sep21,0,0.0,0.0,xqu1,NEFU_FIFTY_SEVEN_00799760CADxqu1
60,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,HKD,H-SHARES IDX FUT AUG21,0,0.0,0.0,hcq1,NEFU_FIFTY_SEVEN_00799769HKDhcq1
61,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,JPY,JPN 10Y BOND(OSE) SEP21,0,0.0,0.0,jbu1,NEFU_FIFTY_SEVEN_00799760JPYjbu1
62,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,JPY,JPN 10Y BOND(OSE) SEP21,0,0.0,0.0,jbu1,NEFU_FIFTY_SEVEN_00799803JPYjbu1
63,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,JPY,NIKKEI 225  (OSE) Sep21,0,0.0,0.0,nku1,NEFU_FIFTY_SEVEN_00799769JPYnku1
64,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,AUD,SPI 200 FUTURES   Sep21,0,0.0,0.0,xpu1,NEFU_FIFTY_SEVEN_00799760AUDxpu1
65,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,AUD,SPI 200 FUTURES   Sep21,0,0.0,0.0,xpu1,NEFU_FIFTY_SEVEN_00799762AUDxpu1
66,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799814,Futures,KRW,US DOLLAR FUT     Aug21,0,0.0,0.0,kuq1 curncy,NEFU_FIFTY_SEVEN_00799814KRWkuq1 curncy
67,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,SGD,MSCI SING IX ETS  Aug21,0,0.0,0.0,qzq1,NEFU_FIFTY_SEVEN_00799760SGDqzq1
68,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,SGD,MSCI SING IX ETS  Aug21,0,0.0,0.0,qzq1,NEFU_FIFTY_SEVEN_00799769SGDqzq1
69,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,ZAR,FTSE/JSE TOP 40   Sep21,0,66.0,-89700.0,aiu1,NEFU_FIFTY_SEVEN_00799762ZARaiu1
70,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,ZAR,FTSE/JSE TOP 40   Sep21,0,66.0,10560.0,aiu1,NEFU_FIFTY_SEVEN_00799769ZARaiu1
71,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,ZAR,FTSE/JSE TOP 40   Sep21,0,66.0,-302080.0,aiu1,NEFU_FIFTY_SEVEN_00799802ZARaiu1
72,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,THB,SET50 FUTURES     Sep21,0,0.0,1680.0,bcu1,NEFU_FIFTY_SEVEN_00799760THBbcu1
73,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,CAC40 10 EURO FUT AUG21,0,0.0,12925.0,cfq1,NEFU_FIFTY_SEVEN_00799769EURcfq1
74,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,CAC40 10 EURO FUT AUG21,0,0.0,1420.0,cfq1,NEFU_FIFTY_SEVEN_00799802EURcfq1
75,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,THB,SET50 FUTURES     Sep21,0,0.0,-97940.0,bcu1,NEFU_FIFTY_SEVEN_00799803THBbcu1
76,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,DJIA MINI E-CBOT SEP21,0,-34648.02,505.0,dmu1,NEFU_FIFTY_SEVEN_00799762USDdmu1
77,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,VSTOXX Future     Aug21,0,0.0,95.0,fvsq1,NEFU_FIFTY_SEVEN_00799802EURfvsq1
78,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,VSTOXX Future     Sep21,0,0.0,100.0,fvsu1,NEFU_FIFTY_SEVEN_00799802EURfvsu1
79,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,DAX INDEX FUTURE  Sep21,0,0.0,400.0,gxu1,NEFU_FIFTY_SEVEN_00799802EURgxu1
80,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,EUR,IBEX 35 INDX FUTR AUG21,0,0.0,16425.0,ibq1,NEFU_FIFTY_SEVEN_00799762EURibq1
81,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,MYR,FTSE KLCI FUTURE  Aug21,0,0.0,500.0,ikq1,NEFU_FIFTY_SEVEN_00799760MYRikq1
82,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799804,Futures,KRW,KOREA 10YR BND FU SEP21,0,0.0,11580000.0,kaau1,NEFU_FIFTY_SEVEN_00799804KRWkaau1
83,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799804,Futures,KRW,KOSPI2 INX FUT    Sep21,0,0.0,67200000.0,kmu1,NEFU_FIFTY_SEVEN_00799804KRWkmu1
84,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799812,Futures,KRW,KOSPI2 INX FUT    Sep21,0,0.0,200000.0,kmu1,NEFU_FIFTY_SEVEN_00799812KRWkmu1
85,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_L20099762,Futures,PLN,WIG20 INDEX FUT   Sep21,0,0.0,14120.0,krsu1,NEFU_FIFTY_SEVEN_L20099762PLNkrsu1
86,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,AUD,AUST 20Y BOND FUT SEP21,0,0.0,0.01,ltyu1,NEFU_FIFTY_SEVEN_00799760AUDltyu1
87,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,MINI MSCI EMG MKT SEP21,0,0.0,21435.0,mesu1,NEFU_FIFTY_SEVEN_00799762USDmesu1
88,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,NASDAQ 100 E-MINI SEP21,0,0.0,90.0,nqu1,NEFU_FIFTY_SEVEN_00799762USDnqu1
89,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,EUR,EURO-OAT FUTURE SEP21,0,0.0,400.0,oatu1,NEFU_FIFTY_SEVEN_00799769EURoatu1
90,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,S&P500 EMINI FUT  Sep21,0,0.0,3962.5,esu1,NEFU_FIFTY_SEVEN_00799762USDesu1
91,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,USD,S&P500 EMINI FUT  Sep21,0,0.0,16925.0,esu1,NEFU_FIFTY_SEVEN_00799769USDesu1
92,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799801,Futures,USD,S&P500 EMINI FUT  Sep21,0,0.0,2000.0,esu1,NEFU_FIFTY_SEVEN_00799801USDesu1
93,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,EURO-BUND FUTURE  Sep21,0,0.0,50.0,rxu1,NEFU_FIFTY_SEVEN_00799802EURrxu1
