,BreakID,BusinessDate,Final_predicted_break,ML_flag,Predicted_Status,Predicted_action,SetupID,SourceCombinationCode,TaskID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,Side1_UniqueIds,PredictedComment,PredictedCategory,Side0_UniqueIds,ActionType,ActionTypeCode,ReconSetupName,ClientShortCode,CreatedDate
24,2054295762,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,42_8971440316_Newedge,,match,79_8971440316_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
25,2063909205,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,42_8971448246_Newedge,,match,73_8971448246_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
26,2054295741,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,180_8971440316_Newedge,,match,78_8971440316_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
27,2035491143,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,41_8971424734_Newedge,,match,196_8971424734_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
28,2071655909,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,39_8971454063_Newedge,,match,80_8971454063_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
29,2080396926,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,111_8971460235_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
30,2077723067,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,195_8971458108_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
31,2069323147,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,,,match,48_8971452119_Advent Geneva,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
32,2069323148,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,,,match,42_8971452119_Advent Geneva,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
33,2042742258,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,169_8971430481_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
34,2071655900,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,166_8971454063_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
35,2051927365,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,176_8971438425_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
36,2058928115,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,170_8971444152_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
37,2029840251,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,159_8971419514_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
38,2080397101,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,136_8971460235_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
39,2083549824,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,147_8971462157_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
40,2069323493,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,133_8971448246_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
41,2069323406,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,153_8971442331_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
42,2035491107,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,175_8971424734_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
43,2069323646,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,130_8971432624_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
44,2083549618,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,5_8971462157_Newedge,,match,8_8971462157_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
45,2077723088,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,39_8971458108_Newedge,,match,57_8971458108_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
46,2080396933,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,2_8971460235_Newedge,,match,6_8971460235_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
47,2077722761,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,7_8971458108_Newedge,,match,8_8971458108_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
48,2069323279,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,15_8971438425_Newedge,,match,43_8971452119_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
49,2035491119,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,30_8971424734_Newedge,,match,135_8971424734_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
50,2071655913,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,26_8971454063_Newedge,,match,57_8971454063_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
51,2042742266,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,24_8971430481_Newedge,,match,68_8971430481_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
52,2069323501,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,5_8971448246_Newedge,,match,51_8971452119_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
53,2083549831,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,24_8971462157_Newedge,,match,48_8971462157_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
