,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
79,9_4551203153_Integrata,,1737813341,OB,UCB,Close,Close,
87,7_4551203153_Integrata,,1737813339,OB,UCB,Close,Close,
102,10_4551203153_Integrata,,1737813332,OB,UCB,Close,Close,
107,3_4551203153_Integrata,,1737813331,OB,UCB,Close,Close,
265,9_4551464617_Integrata,,2086488715,OB,UCB,Close,Close,
267,6_4551464617_Integrata,,2086488714,OB,UCB,Close,Close,
345,6_4551203153_Integrata,,1737813326,OB,UCB,Close,Close,
351,1_4551203153_Integrata,,1737813324,OB,UCB,Close,Close,
375,10_4551460499_Integrata,,2080567633,OB,UCB,Close,Close,
385,1_4551460499_Integrata,,2080567634,OB,UCB,Close,Close,
425,3_4551460499_Integrata,,2080567637,OB,UCB,Close,Close,
435,2_4551460499_Integrata,,2080567635,OB,UCB,Close,Close,
681,1_4551498551_Integrata,,2131317946,OB,UCB,Close,Close,
774,1_4551470300_Integrata,,1860500567,OB,UCB,Close,Close,
775,4_4551470300_Integrata,,1860500568,OB,UCB,Close,Close,
776,4_4551498551_Integrata,,2131317947,OB,UCB,Close,Close,
15242,,19_4551470300_CACEIS,1860500578,OB,UCB,Close,Close,
15244,,19_4551498551_CACEIS,2131317953,OB,UCB,Close,Close,
15362,,20_4551470300_CACEIS,1860500580,OB,UCB,Close,Close,
15368,,20_4551498551_CACEIS,2131317957,OB,UCB,Close,Close,
