,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
0,,1_4551470297_CACEIS,1860499271,CNF,UCB,Close,Close,
1,,5_4551470297_CACEIS,1860499272,CNF,UCB,Close,Close,
53,3_4551460499_Integrata,,2080567637,OB,UCB,Close,Close,
55,2_4551460499_Integrata,,2080567635,OB,UCB,Close,Close,
89,1_4551460499_Integrata,,2080567634,OB,UCB,Close,Close,
100,10_4551460499_Integrata,,2080567633,OB,UCB,Close,Close,
218,7_4551203153_Integrata,,1737813339,OB,UCB,Close,Close,
230,9_4551203153_Integrata,,1737813341,OB,UCB,Close,Close,
373,10_4551203153_Integrata,,1737813332,OB,UCB,Close,Close,
388,3_4551203153_Integrata,,1737813331,OB,UCB,Close,Close,
423,6_4551203153_Integrata,,1737813326,OB,UCB,Close,Close,
427,1_4551203153_Integrata,,1737813324,OB,UCB,Close,Close,
604,6_4551464617_Integrata,,2086488714,OB,UCB,Close,Close,
606,9_4551464617_Integrata,,2086488715,OB,UCB,Close,Close,
621,1_4551497264_Integrata,,2129731367,OB,UCB,Close,Close,
9513,1_4551470297_Integrata,,1860499523,OB,UCB,Close,Close,
12397,5_4551470297_Integrata,,1860499525,OB,UCB,Close,Close,
12417,5_4551497264_Integrata,,2129731369,OB,UCB,Close,Close,
13185,,1_4551497264_CACEIS,2129730970,OB,UCB,Close,Close,
13192,,5_4551497264_CACEIS,2129730969,OB,UCB,Close,Close,
