,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
30,,7_4551426007_CACEIS,1859875408,OB,UCB,Close,Close,
31,,1_4551426007_CACEIS,1859875410,OB,UCB,Close,Close,
32,159_4551426007_Integrata,,1859875425,OB,UCB,Close,Close,
33,159_4551426004_Integrata,,1859874876,OB,UCB,Close,Close,
34,160_4551426007_Integrata,,1859875434,OB,UCB,Close,Close,
35,160_4551426004_Integrata,,1859874883,OB,UCB,Close,Close,
36,102_4551426007_Integrata,BB,1859875296,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
37,50_4551426007_Integrata,BB,1859875295,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-29.Caceis yet to book.
38,136_4551426007_Integrata,BB,1859875294,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-25.Caceis yet to book.
39,94_4551426007_Integrata,BB,1859875297,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
40,49_4551426007_Integrata,BB,1859875298,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-29.Caceis yet to book.
41,96_4551426007_Integrata,BB,1859875299,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
42,51_4551426007_Integrata,BB,1859875300,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-29.Caceis yet to book.
43,140_4551426007_Integrata,BB,1859875301,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-25.Caceis yet to book.
44,139_4551426007_Integrata,BB,1859875302,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-25.Caceis yet to book.
45,105_4551426007_Integrata,BB,1859875303,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-29.Caceis yet to book.
46,133_4551426007_Integrata,BB,1859875304,CMF,OB,No-pair,proceeds sell,Integrata booked the proceeds sell for SD 2021-06-24.Caceis yet to book.
