,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns
0,,2_2491470412_Bank of America Merrill Lynch,1860527341,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860527341
1,,3_2491470412_Bank of America Merrill Lynch,1860527342,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860527342
2,,3_2491501947_Bank of America Merrill Lynch,2135670426,OB,UCB,Close,Close,,Bank of America Merrill Lynch,2135670426
3,,4_2491470412_Bank of America Merrill Lynch,1860527343,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860527343
4,,12_2491470412_Bank of America Merrill Lynch,1860527351,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860527351
5,,13_2491470412_Bank of America Merrill Lynch,1860527352,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860527352
6,,14_2491470412_Bank of America Merrill Lynch,1860527353,OB,UCB,Close,Close,,Bank of America Merrill Lynch,1860527353
7,,9_330824_Bank of America Merrill Lynch,476854873,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854873
8,,8_330824_Bank of America Merrill Lynch,476854871,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854871
9,,11_330824_Bank of America Merrill Lynch,476854875,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854875
10,,10_330824_Bank of America Merrill Lynch,476854874,OB,OB,No-pair,wire,Bank Of America  booked the wire transaction for SD 03-12-2019. Integrata yet to book.,Bank Of America ,476854874
11,3_249389399_Integrata,,563926312,OB,OB,No-pair,dividend,Integrata booked the dividend transaction for SD 05-02-2019. Bank Of America  yet to book.,Bank Of America ,563926312
12,1_249389399_Integrata,,563926313,OB,OB,No-pair,dividend,Integrata booked the dividend transaction for SD 05-02-2019. Bank Of America  yet to book.,Bank Of America ,563926313
13,,1_2491470412_Bank of America Merrill Lynch,1860527340,OB,OB,No-pair,expenses month end interest,Bank Of America  booked the expenses month end interest transaction for SD 08-31-2021. Integrata yet to book.,Bank Of America ,1860527340
14,,1_2491501947_Bank of America Merrill Lynch,2135670427,OB,OB,No-pair,expenses month end interest,Bank Of America  booked the expenses month end interest transaction for SD 08-31-2021. Integrata yet to book.,Bank Of America ,2135670427
15,,5_2491470412_Bank of America Merrill Lynch,1860527344,OB,OB,No-pair,expenses month end interest,Bank Of America  booked the expenses month end interest transaction for SD 08-31-2021. Integrata yet to book.,Bank Of America ,1860527344
